biovolume_um3,mean_thickness_um,roughness_Ra,coverage,file,series,fov,condition,day,species,threshold
52816.7991648528,0.5509016321178741,0.16741066031253693,0.29747581481933594,220601_HOBIC22_5Spezies_FISH_Tag1.lif,0,72 1,CH,1,P.gingivalis,0.4166582226753235
46499.54246992454,0.6360079787278765,0.32818450749883826,0.2268505096435547,220601_HOBIC22_5Spezies_FISH_Tag1.lif,1,72 2,CH,1,S.oralis,0.5039631724357605
38925.354364053695,0.5671874111561458,0.2161458708956524,0.21294116973876953,220601_HOBIC22_5Spezies_FISH_Tag1.lif,1,72 2,CH,1,A.naeslundii,0.7356771230697632
6082.139478469824,0.58182252506542,0.23854826190514714,0.03243541717529297,220601_HOBIC22_5Spezies_FISH_Tag1.lif,1,72 2,CH,1,Vd/Vp,1.6042969226837158
60615.18668314771,0.565538120309592,0.20244143485644137,0.3325624465942383,220601_HOBIC22_5Spezies_FISH_Tag1.lif,1,72 2,CH,1,F.nucleatum,0.342043399810791
47726.795906520194,0.562741631906065,0.198707240757998,0.2631521224975586,220601_HOBIC22_5Spezies_FISH_Tag1.lif,1,72 2,CH,1,P.gingivalis,0.49359995126724243
36689.664887213185,0.5973606535555223,0.26877628941708237,0.19057273864746094,220601_HOBIC22_5Spezies_FISH_Tag1.lif,2,72 3,CH,1,S.oralis,0.3887016773223877
47487.373077203134,0.5253389859842639,0.09133279245361194,0.2804737091064453,220601_HOBIC22_5Spezies_FISH_Tag1.lif,2,72 3,CH,1,A.naeslundii,0.6112432479858398
5030.954853414336,0.6071108304588109,0.2802164213934431,0.025712013244628906,220601_HOBIC22_5Spezies_FISH_Tag1.lif,2,72 3,CH,1,Vd/Vp,1.4518229961395264
73972.88926136524,0.6098234597462618,0.28771895870017483,0.3763761520385742,220601_HOBIC22_5Spezies_FISH_Tag1.lif,2,72 3,CH,1,F.nucleatum,0.31074070930480957
44537.10563771884,0.5560294598660025,0.1802489466442494,0.24852943420410156,220601_HOBIC22_5Spezies_FISH_Tag1.lif,2,72 3,CH,1,P.gingivalis,0.41965100169181824
53812.93345407302,0.6722216988159045,0.3653314913845042,0.24838638305664062,220601_HOBIC22_5Spezies_FISH_Tag1.lif,3,72 4,CH,1,S.oralis,0.37595993280410767
57843.909721071934,0.5138102144284639,0.05143614981523064,0.3493080139160156,220601_HOBIC22_5Spezies_FISH_Tag1.lif,3,72 4,CH,1,A.naeslundii,0.5965867042541504
10707.597863734463,0.639065725606736,0.3249687473831083,0.051987648010253906,220601_HOBIC22_5Spezies_FISH_Tag1.lif,3,72 4,CH,1,Vd/Vp,0.8490450978279114
70832.09845288684,0.579268063473391,0.23276650561560752,0.3794059753417969,220601_HOBIC22_5Spezies_FISH_Tag1.lif,3,72 4,CH,1,F.nucleatum,0.3345661759376526
43831.44644456793,0.6025669727251602,0.2822382175096806,0.22570133209228516,220601_HOBIC22_5Spezies_FISH_Tag1.lif,3,72 4,CH,1,P.gingivalis,0.40000998973846436
29696.27320159315,0.6080660299698538,0.289164611617659,0.15153217315673828,220601_HOBIC22_5Spezies_FISH_Tag1.lif,4,72 5,CH,1,S.oralis,0.3882642984390259
49784.571309166844,0.51972741180925,0.07248328987902862,0.29721641540527344,220601_HOBIC22_5Spezies_FISH_Tag1.lif,4,72 5,CH,1,A.naeslundii,0.627682626247406
3993.302154485952,0.5782060836671118,0.22985138403097216,0.021429061889648438,220601_HOBIC22_5Spezies_FISH_Tag1.lif,4,72 5,CH,1,Vd/Vp,1.5506184101104736
58364.88887696544,0.5447412906279584,0.1493782048889951,0.3324413299560547,220601_HOBIC22_5Spezies_FISH_Tag1.lif,4,72 5,CH,1,F.nucleatum,0.3790420889854431
42625.721072265405,0.5541716028515027,0.17601347475299697,0.2386608123779297,220601_HOBIC22_5Spezies_FISH_Tag1.lif,4,72 5,CH,1,P.gingivalis,0.38565799593925476
50796.23655905568,0.6677924071245586,0.3692104375627015,0.23601722717285156,220720_HOBIC22_5Spezies_FISH_Tag1.lif,0,71 1,CH,1,S.oralis,0.6750090718269348
832.521000592512,0.6575926681233308,0.3523751689778051,0.003928184509277344,220720_HOBIC22_5Spezies_FISH_Tag1.lif,0,71 1,CH,1,A.naeslundii,3.854867935180664
58155.45156577094,0.6488815198529463,0.34790746367820696,0.27808570861816406,220720_HOBIC22_5Spezies_FISH_Tag1.lif,0,71 1,CH,1,Vd/Vp,0.779181957244873
39868.59112386797,0.6041915575553474,0.28284283652772363,0.2047433853149414,220720_HOBIC22_5Spezies_FISH_Tag1.lif,0,71 1,CH,1,F.nucleatum,0.3407067656517029
69359.27131146182,0.6152561799131352,0.2992290480096955,0.34978580474853516,220720_HOBIC22_5Spezies_FISH_Tag1.lif,0,71 1,CH,1,P.gingivalis,0.7064212560653687
57036.45353819212,0.6612100965255778,0.3625620311992555,0.26764965057373047,220720_HOBIC22_5Spezies_FISH_Tag1.lif,1,71 2,CH,1,S.oralis,0.6670572757720947
1578.622200236928,0.6494789833080424,0.34006238309820686,0.007541656494140625,220720_HOBIC22_5Spezies_FISH_Tag1.lif,1,71 2,CH,1,A.naeslundii,3.2980239391326904
58159.295862966144,0.6398141154909956,0.33671700789155773,0.2820453643798828,220720_HOBIC22_5Spezies_FISH_Tag1.lif,1,71 2,CH,1,Vd/Vp,0.8641927242279053
39283.33531887072,0.593481179912238,0.26264277711269673,0.20537853240966797,220720_HOBIC22_5Spezies_FISH_Tag1.lif,1,71 2,CH,1,F.nucleatum,0.3512803614139557
51382.568767267585,0.5763555903383507,0.22701905855802426,0.27661705017089844,220720_HOBIC22_5Spezies_FISH_Tag1.lif,1,71 2,CH,1,P.gingivalis,0.8184787631034851
55127.683094831424,0.7045375304917567,0.4008159971416001,0.2427835464477539,220720_HOBIC22_5Spezies_FISH_Tag1.lif,2,71 3,CH,1,S.oralis,0.6633511781692505
606.63009740256,0.6138984447900467,0.298833691090756,0.0030660629272460938,220720_HOBIC22_5Spezies_FISH_Tag1.lif,2,71 3,CH,1,A.naeslundii,4.5068359375
65360.27959712697,0.6700370987358681,0.3703563618070374,0.3026695251464844,220720_HOBIC22_5Spezies_FISH_Tag1.lif,2,71 3,CH,1,Vd/Vp,0.7982177734375
32758.17903162605,0.6018171460676695,0.27801831351042683,0.16889190673828125,220720_HOBIC22_5Spezies_FISH_Tag1.lif,2,71 3,CH,1,F.nucleatum,0.35122156143188477
67983.47423124364,0.6132427784031362,0.2962305701003724,0.34397315979003906,220720_HOBIC22_5Spezies_FISH_Tag1.lif,2,71 3,CH,1,P.gingivalis,0.7104324102401733
51046.73096429491,0.6283400646191327,0.3192428895560327,0.2520732879638672,220720_HOBIC22_5Spezies_FISH_Tag1.lif,3,71 4,CH,1,S.oralis,0.6865461468696594
1084.8606684854399,0.6349373088685016,0.32346981016348175,0.005301475524902344,220720_HOBIC22_5Spezies_FISH_Tag1.lif,3,71 4,CH,1,A.naeslundii,4.0934247970581055
65183.749469923394,0.6419970687687496,0.3382475996053281,0.3150358200073242,220720_HOBIC22_5Spezies_FISH_Tag1.lif,3,71 4,CH,1,Vd/Vp,0.7740384340286255
43007.997985356094,0.5943128986085862,0.26382149072680017,0.22453689575195312,220720_HOBIC22_5Spezies_FISH_Tag1.lif,3,71 4,CH,1,F.nucleatum,0.3889097571372986
51830.6600483401,0.5856807106017191,0.24683185984726683,0.27458667755126953,220720_HOBIC22_5Spezies_FISH_Tag1.lif,3,71 4,CH,1,P.gingivalis,0.7737160325050354
23385.167382177216,0.6268052057931852,0.3188164126980665,0.11576080322265625,220817_HOBIC22_5Spezies_FISH_Tag15.lif,0,93 1,CH,15,S.oralis,1.0980404615402222
50421.49446846758,0.6000445126411893,0.27428751975840854,0.2607269287109375,220817_HOBIC22_5Spezies_FISH_Tag15.lif,0,93 1,CH,15,A.naeslundii,1.0140964984893799
64739.656257933886,0.6515279001141394,0.34992987844314727,0.30831241607666016,220817_HOBIC22_5Spezies_FISH_Tag15.lif,0,93 1,CH,15,Vd/Vp,0.9868489503860474
66694.40449574919,0.6346806932618874,0.32707294924405805,0.3260526657104492,220817_HOBIC22_5Spezies_FISH_Tag15.lif,0,93 1,CH,15,F.nucleatum,0.4897541105747223
36489.30011739936,0.5878967232516912,0.25258563973993375,0.1925830841064453,220817_HOBIC22_5Spezies_FISH_Tag15.lif,0,93 1,CH,15,P.gingivalis,0.9258108735084534
36833.134058538046,0.5801576263555385,0.23660475551337326,0.196990966796875,220817_HOBIC22_5Spezies_FISH_Tag15.lif,1,93 2,CH,15,S.oralis,0.7729116678237915
59680.561149050685,0.6625016063380066,0.37353529450645373,0.2795114517211914,220817_HOBIC22_5Spezies_FISH_Tag15.lif,1,93 2,CH,15,A.naeslundii,0.877178430557251
53187.389414470075,0.6364686006951469,0.33499536393021984,0.2592897415161133,220817_HOBIC22_5Spezies_FISH_Tag15.lif,1,93 2,CH,15,Vd/Vp,0.912667453289032
59707.62500130489,0.6353431693899712,0.3306048333224135,0.2915916442871094,220817_HOBIC22_5Spezies_FISH_Tag15.lif,1,93 2,CH,15,F.nucleatum,0.49812203645706177
50323.38800404608,0.5975699040110953,0.2702960682048025,0.26129722595214844,220817_HOBIC22_5Spezies_FISH_Tag15.lif,1,93 2,CH,15,P.gingivalis,0.7306820154190063
27486.72494568,0.5656101764594271,0.2037711756840973,0.1507854461669922,220817_HOBIC22_5Spezies_FISH_Tag15.lif,2,93 3,CH,15,S.oralis,0.8000354766845703
56234.53314327341,0.637796475320972,0.3420829615610391,0.2735738754272461,220817_HOBIC22_5Spezies_FISH_Tag15.lif,2,93 3,CH,15,A.naeslundii,0.8052083253860474
70940.04631812806,0.6605050406797219,0.3651542328476482,0.3332490921020508,220817_HOBIC22_5Spezies_FISH_Tag15.lif,2,93 3,CH,15,Vd/Vp,0.7443265914916992
63088.761270427196,0.6248857073706833,0.31472399313327265,0.3132600784301758,220817_HOBIC22_5Spezies_FISH_Tag15.lif,2,93 3,CH,15,F.nucleatum,0.433806836605072
52548.62099251564,0.6014515610763425,0.27691958391908644,0.2710905075073242,220817_HOBIC22_5Spezies_FISH_Tag15.lif,2,93 3,CH,15,P.gingivalis,0.6723722219467163
36469.77108764774,0.6048927166227397,0.28741694791202677,0.1870718002319336,220817_HOBIC22_5Spezies_FISH_Tag15.lif,3,93 4,CH,15,S.oralis,0.8630495071411133
