model,chain,stage,beta
Dysbiotic_HOBIC,1,0,0.0
Dysbiotic_HOBIC,1,1,0.14214926958084106
Dysbiotic_HOBIC,1,2,0.46825341883293703
Dysbiotic_HOBIC,1,3,0.968253418832937
Dysbiotic_HOBIC,1,4,0.9999999990538782
Dysbiotic_HOBIC,1,5,1.0
