model,chain,stage,beta,beta_next,delta_beta,ess,ess_target,accept_rate,logL_min,logL_max,linearization_enabled,rom_error_pre,rom_error_post,delta_theta0
Dysbiotic_HOBIC,1,1,0.0,0.15007957816123962,0.15007957816123962,500.00001237524043,500.0,0.5208,-16.239147156470672,10.140236998795169,0,nan,nan,nan
Dysbiotic_HOBIC,1,2,0.15007957816123962,0.6006063245971394,0.45052674643589974,500.00001351323084,500.0,0.4626,-2.4952616595081225,10.314491882008449,0,nan,nan,nan
Dysbiotic_HOBIC,1,3,0.6006063245971394,0.9999999880971409,0.39939366350000155,878.2730410438554,500.0,0.4954,-0.6127273510653739,10.68128972736838,0,0.0,nan,4.655570154220838
Dysbiotic_HOBIC,1,4,0.9999999880971409,1.0,1.190285914276501e-08,1000.0,500.0,0.5066,1.8374169811395267,10.552502934972155,0,nan,nan,nan
