condition,t_day,species,phi
CS,2.1,P. gingivalis_20709,0.005038592989770654
CS,2.1500000000000004,S. oralis,0.5758304429234282
CS,2.1500000000000004,A. naeslundii,0.008053400667395778
CS,2.1500000000000004,V. dispar,0.4056647188647595
CS,2.1500000000000004,F. nucleatum,0.005435552279297165
CS,2.1500000000000004,P. gingivalis_20709,0.005015885265119376
CS,2.2,S. oralis,0.5861974967527122
CS,2.2,A. naeslundii,0.008155078810853526
CS,2.2,V. dispar,0.39524903061961697
CS,2.2,F. nucleatum,0.005405502998454178
CS,2.2,P. gingivalis_20709,0.0049928908183630195
CS,2.25,S. oralis,0.596003622398807
CS,2.25,A. naeslundii,0.008258283722025654
CS,2.25,V. dispar,0.38539276295266717
CS,2.25,F. nucleatum,0.005375488316822526
CS,2.25,P. gingivalis_20709,0.0049698426096777635
CS,2.3,S. oralis,0.6052778480685965
CS,2.3,A. naeslundii,0.008363338137387
CS,2.3,V. dispar,0.37606616219309547
CS,2.3,F. nucleatum,0.005345716064029764
CS,2.3,P. gingivalis_20709,0.00494693553689109
CS,2.35,S. oralis,0.6140486709282634
CS,2.35,A. naeslundii,0.008470531098430274
CS,2.35,V. dispar,0.36724010887237435
CS,2.35,F. nucleatum,0.0053163577115552104
CS,2.35,P. gingivalis_20709,0.00492433138937658
CS,2.4000000000000004,S. oralis,0.6223437875352986
CS,2.4000000000000004,A. naeslundii,0.008580121808441149
CS,2.4000000000000004,V. dispar,0.35888637417676955
CS,2.4000000000000004,F. nucleatum,0.005287553260331618
CS,2.4000000000000004,P. gingivalis_20709,0.004902163219159207
CS,2.45,S. oralis,0.6301898958472816
CS,2.45,A. naeslundii,0.008692343130032136
CS,2.45,V. dispar,0.3509778063202774
CS,2.45,F. nucleatum,0.005259415522465929
CS,2.45,P. gingivalis_20709,0.004880539179943229
CS,2.5,S. oralis,0.63761257079848
CS,2.5,A. naeslundii,0.008807405048155772
CS,2.5,V. dispar,0.3434884438113745
CS,2.5,F. nucleatum,0.005232034169730629
CS,2.5,P. gingivalis_20709,0.004859546172259111
CS,2.55,S. oralis,0.6446361824161536
CS,2.55,A. naeslundii,0.008925497638337864
CS,2.55,V. dispar,0.33639358793526564
CS,2.55,F. nucleatum,0.005205479115838799
CS,2.55,P. gingivalis_20709,0.004839252894404045
CS,2.6,S. oralis,0.6512838511777262
CS,2.6,A. naeslundii,0.00904679375614329
CS,2.6,V. dispar,0.32966983903834945
CS,2.6,F. nucleatum,0.0051798034933863354
CS,2.6,P. gingivalis_20709,0.004819712534394642
CS,2.6500000000000004,S. oralis,0.6575774423220418
CS,2.6500000000000004,A. naeslundii,0.009171451543518387
CS,2.6500000000000004,V. dispar,0.32329509459116884
CS,2.6500000000000004,F. nucleatum,0.005155046337987505
CS,2.6500000000000004,P. gingivalis_20709,0.004800965205283354
CS,2.7,S. oralis,0.6635375729645363
CS,2.7,A. naeslundii,0.009299616540299082
CS,2.7,V. dispar,0.3172485357397331
CS,2.7,F. nucleatum,0.005131234800339832
CS,2.7,P. gingivalis_20709,0.004783039955091651
CS,2.75,S. oralis,0.6691836388336082
CS,2.75,A. naeslundii,0.00943142359336804
CS,2.75,V. dispar,0.3115105949402667
CS,2.75,F. nucleatum,0.005108386092650115
CS,2.75,P. gingivalis_20709,0.004765956540106866
CS,2.8,S. oralis,0.6745338579942113
CS,2.8,A. naeslundii,0.009566998568466262
CS,2.8,V. dispar,0.3060629072757729
CS,2.8,F. nucleatum,0.00508650918578719
CS,2.8,P. gingivalis_20709,0.00474972697576224
CS,2.85,S. oralis,0.6796053129944042
CS,2.85,A. naeslundii,0.009706459784243358
CS,2.85,V. dispar,0.3008882642139613
CS,2.85,F. nucleatum,0.005065606199148614
CS,2.85,P. gingivalis_20709,0.004734356808242485
CS,2.9000000000000004,S. oralis,0.6844140053105758
CS,2.9000000000000004,A. naeslundii,0.009849919314857188
CS,2.9000000000000004,V. dispar,0.2959705555037843
CS,2.9000000000000004,F. nucleatum,0.005045673628818487
CS,2.9000000000000004,P. gingivalis_20709,0.004719846241964266
CS,2.95,S. oralis,0.6889749113452567
CS,2.95,A. naeslundii,0.00999748411544408
CS,2.95,V. dispar,0.29129471006864366
CS,2.95,F. nucleatum,0.005026703380502095
CS,2.95,P. gingivalis_20709,0.004706191090153377
CS,3.0,S. oralis,0.6933020386551811
CS,3.0,A. naeslundii,0.010149256996710104
CS,3.0,V. dispar,0.2868466371303111
CS,3.0,F. nucleatum,0.005008683639939295
CS,3.0,P. gingivalis_20709,0.004693383577858393
CS,3.0500000000000003,S. oralis,0.6974084822896789
CS,3.0500000000000003,A. naeslundii,0.010305337474400779
CS,3.0500000000000003,V. dispar,0.28261316760202065
CS,3.0500000000000003,F. nucleatum,0.0049915996100041785
CS,3.0500000000000003,P. gingivalis_20709,0.004681413023895504
CS,3.1,S. oralis,0.701306480485266
CS,3.1,A. naeslundii,0.010465822508585777
CS,3.1,V. dispar,0.27858199645463255
CS,3.1,F. nucleatum,0.004975434133084444
CS,3.1,P. gingivalis_20709,0.0046702664184314815
CS,3.15,S. oralis,0.7050074692266268
CS,3.15,A. naeslundii,0.010630807146308738
CS,3.15,V. dispar,0.2747416265008018
CS,3.15,F. nucleatum,0.004960168215213401
CS,3.15,P. gingivalis_20709,0.0046599289110494605
CS,3.2,S. oralis,0.7085221327391279
CS,3.2,A. naeslundii,0.010800385076285599
CS,3.2,V. dispar,0.27108131650403905
CS,3.2,F. nucleatum,0.004945781462402036
CS,3.2,P. gingivalis_20709,0.0046503842181454345
CS,3.25,S. oralis,0.7118604542407837
CS,3.25,A. naeslundii,0.010974649114728771
CS,3.25,V. dispar,0.26759102922510225
CS,3.25,F. nucleatum,0.004932252449933548
CS,3.25,P. gingivalis_20709,0.004641614969451668
CS,3.3000000000000003,S. oralis,0.7150317629201924
CS,3.3000000000000003,A. naeslundii,0.011153691623964124
CS,3.3000000000000003,V. dispar,0.2642613834326427
CS,3.3000000000000003,F. nucleatum,0.00491955902764317
CS,3.3000000000000003,P. gingivalis_20709,0.004633602995557436
CS,3.35,S. oralis,0.7180447782793937
CS,3.35,A. naeslundii,0.011337604875594267
CS,3.35,V. dispar,0.2610836087037342
CS,3.35,F. nucleatum,0.004907678573455201
CS,3.35,P. gingivalis_20709,0.004626329567822502
CS,3.4000000000000004,S. oralis,0.7209076518245934
CS,3.4000000000000004,A. naeslundii,0.01152648136555206
CS,3.4000000000000004,V. dispar,0.25804950300899476
CS,3.4000000000000004,F. nucleatum,0.004896588203037987
CS,3.4000000000000004,P. gingivalis_20709,0.004619775597822046
CS,3.45,S. oralis,0.723628005610378
CS,3.45,A. naeslundii,0.011720414088570545
CS,3.45,V. dispar,0.25515139355602523
CS,3.45,F. nucleatum,0.004886264942510007
CS,3.45,P. gingivalis_20709,0.0046139218025164856
CS,3.5,S. oralis,0.7262129708197973
CS,3.5,A. naeslundii,0.011919496771075485
CS,3.5,V. dispar,0.25238209770044656
CS,3.5,F. nucleatum,0.0048766858687266604
CS,3.5,P. gingivalis_20709,0.004608748839953872
CS,3.5500000000000003,S. oralis,0.7286692178356137
CS,3.5500000000000003,A. naeslundii,0.012123824085999057
CS,3.5500000000000003,V. dispar,0.2497348924314918
CS,3.5500000000000003,F. nucleatum,0.004867828225582263
CS,3.5500000000000003,P. gingivalis_20709,0.0046042374213130415
CS,3.6,S. oralis,0.7310029919248299
CS,3.6,A. naeslundii,0.012333491822975424
CS,3.6,V. dispar,0.2472034783369577
CS,3.6,F. nucleatum,0.004859669514520023
CS,3.6,P. gingivalis_20709,0.004600368400717149
CS,3.6500000000000004,S. oralis,0.733220141014238
CS,3.6500000000000004,A. naeslundii,0.012548597046763782
CS,3.6500000000000004,V. dispar,0.2447819515224826
CS,3.6500000000000004,F. nucleatum,0.00485218756835849
CS,3.6500000000000004,P. gingivalis_20709,0.004597122848157184
CS,3.7,S. oralis,0.7353261432723025
CS,3.7,A. naeslundii,0.012769238231495063
CS,3.7,V. dispar,0.24246477578010647
CS,3.7,F. nucleatum,0.0048453606086745335
CS,3.7,P. gingivalis_20709,0.004594482107421247
CS,3.75,S. oralis,0.7373261325857077
CS,3.75,A. naeslundii,0.012995515377204055
CS,3.75,V. dispar,0.24024675690574018
CS,3.75,F. nucleatum,0.004839167289880872
CS,3.75,P. gingivalis_20709,0.0045924278414671265
CS,3.8000000000000003,S. oralis,0.7392249221472693
CS,3.8000000000000003,A. naeslundii,0.013227530110941705
CS,3.8000000000000003,V. dispar,0.238123018942288
CS,3.8000000000000003,F. nucleatum,0.004833586732206991
CS,3.8000000000000003,P. gingivalis_20709,0.004590942067293897
CS,3.85,S. oralis,0.7410270263165859
CS,3.85,A. naeslundii,0.013465385774366618
CS,3.85,V. dispar,0.23608898218163854
CS,3.85,F. nucleatum,0.004828598545404926
CS,3.85,P. gingivalis_20709,0.004590007182003914
CS,3.9000000000000004,S. oralis,0.7427366808768814
CS,3.9000000000000004,A. naeslundii,0.013709187499508505
CS,3.9000000000000004,V. dispar,0.23414034279737805
CS,3.9000000000000004,F. nucleatum,0.004824182844735391
CS,3.9000000000000004,P. gingivalis_20709,0.00458960598149656
CS,3.95,S. oralis,0.7443578621168272
CS,3.95,A. naeslundii,0.01395904227143784
CS,3.95,V. dispar,0.23227305367948967
CS,3.95,F. nucleatum,0.004820320259822697
CS,3.95,P. gingivalis_20709,0.004589721672422492
CS,4.0,S. oralis,0.7458943029813059
CS,4.0,A. naeslundii,0.014215058994895542
CS,4.0,V. dispar,0.23048330820014556
CS,4.0,F. nucleatum,0.004816991941752375
CS,4.0,P. gingivalis_20709,0.004590337881900616
CS,4.050000000000001,S. oralis,0.7473495105721583
CS,4.050000000000001,A. naeslundii,0.014477348532273768
CS,4.050000000000001,V. dispar,0.22876752267700382
CS,4.050000000000001,F. nucleatum,0.004814179560146008
CS,4.050000000000001,P. gingivalis_20709,0.004591438658418313
CS,4.1,S. oralis,0.7487267811216367
CS,4.1,A. naeslundii,0.014746023741924335
CS,4.1,V. dispar,0.2271223213663499
CS,4.1,F. nucleatum,0.004811865299014539
CS,4.1,P. gingivalis_20709,0.004593008471074496
CS,4.15,S. oralis,0.7500292136336099
CS,4.15,A. naeslundii,0.01502119951247234
CS,4.15,V. dispar,0.22554452279687345
CS,4.15,F. nucleatum,0.00481003185046382
CS,4.15,P. gingivalis_20709,0.004595032206580475
CS,4.2,S. oralis,0.7512597208245958
