run_accession	sample_alias	fastq_ftp	fastq_md5	fastq_bytes	library_layout	library_strategy	library_source	library_selection
SRR30617663	NU_28	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/063/SRR30617663/SRR30617663_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/063/SRR30617663/SRR30617663_2.fastq.gz	f1c6ced8b60d0c1021adad29f44f823d;a6ae717fbfdcb5b0c62da42479190e20	10414813;12176634	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617664	NU_27	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/064/SRR30617664/SRR30617664_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/064/SRR30617664/SRR30617664_2.fastq.gz	fde63ae81f0c8f4cd090a1dc541b3e0e;41973300fa3f9cfe3d1748adde99d470	9855845;13178910	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617667	NU_24	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/067/SRR30617667/SRR30617667_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/067/SRR30617667/SRR30617667_2.fastq.gz	94008ad826b7108addd34fe111e116d4;e330608480c8b5fe6016a611fada44fd	12664988;14809125	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617668	NU_23	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/068/SRR30617668/SRR30617668_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/068/SRR30617668/SRR30617668_2.fastq.gz	45464f32473ccc085754e87d4124629c;a1303b9acea521bf9b833dec0ffbc55e	11636295;12150960	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617675	NU_17	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/075/SRR30617675/SRR30617675_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/075/SRR30617675/SRR30617675_2.fastq.gz	c76a9bea151b5e6471faa1e389e3e56f;6e81a2b7a342180b8886787e1e55576f	9826880;10768511	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617677	NU_15	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/077/SRR30617677/SRR30617677_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/077/SRR30617677/SRR30617677_2.fastq.gz	b29c4d4b360b43ebf59dac77d31a409e;f572e093902d9e490e144f905b6327ee	10011301;10994593	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617678	NU_14	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/078/SRR30617678/SRR30617678_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/078/SRR30617678/SRR30617678_2.fastq.gz	3d6d5e091c9934b671557ae34ec70934;bb527045dbfb33a9b8ab3cfd2446f989	8458570;11953203	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617679	NU_13	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/079/SRR30617679/SRR30617679_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/079/SRR30617679/SRR30617679_2.fastq.gz	700e17fd45546b66eebbec946ebbd186;74639ca3c5f5a35fb270d0b59c0f3da8	7527562;10535189	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617680	NU_02	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/080/SRR30617680/SRR30617680_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/080/SRR30617680/SRR30617680_2.fastq.gz	16ec6524b7d41b28d08e24ac52edb4a4;2f71cf521176a84ba009e2b63a03c9a9	18817900;23308375	PAIRED	AMPLICON	GENOMIC	RT-PCR
SRR30617619	NU_11	ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/019/SRR30617619/SRR30617619_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR306/019/SRR30617619/SRR30617619_2.fastq.gz	73c59e496a10e0b3fb6ca95d9bbeedd6;d1102fc332d14dedece0e3d67806081a	9158047;11529595	PAIRED	AMPLICON	GENOMIC	RT-PCR
