z,S11,S33,phi_Pg,lam
0.0814,-1019.9445,-0.0023,0.17369,1.35859
0.2302,-269.6527,-0.0081,0.19943,1.09071
0.3607,-29.9939,-0.0118,0.20719,1.00992
0.4914,-284.4474,-0.0079,0.19894,1.09579
0.6324,-586.7935,-0.0048,0.18879,1.20143
0.7801,-643.9789,-0.0044,0.18683,1.22181
0.9278,-590.3948,-0.0048,0.18867,1.20271
1.0779,-672.4056,-0.0154,0.17768,1.31700
