sample_id,diagnosis,phi0_So,phi0_An,phi0_Vd,phi0_Fn,phi0_Pg,phieq_So,phieq_An,phieq_Vd,phieq_Fn,phieq_Pg,attractor_nearest,attractor_binary,attractor_ode,PC1_init,PC2_init
Peri-implantitis,PI,0.4211983887210473,0.0062940584088620345,0.199269889224572,0.2372860020140987,0.13595166163141995,0.16191400023285402,0.17490284841628284,0.23201429618513586,0.18586357169932322,0.24530528346640396,CS,commensal,dysbiotic,-0.10969759310764104,-0.035802477914222454
Mucositis,PIM,0.28825622775800713,0.002704626334519573,0.005836298932384342,0.26875444839857654,0.43444839857651246,0.14810727681802482,0.1746147350288813,0.2363467835316896,0.18943546154761523,0.25149574307378897,DS,dysbiotic,dysbiotic,-0.34598593656270293,0.24427825004998144
Health,PIH,0.7766684655513582,0.020417341248425976,0.06871739521496673,0.12889008814534988,0.005306709839899263,0.22522767855342263,0.1667341994370152,0.21249351155671195,0.16895043985433605,0.22659417059851406,CH,commensal,dysbiotic,0.26758775514775396,-0.011625350992751563
Mucositis.1,PIM,0.7313851741786362,0.014033349843156679,0.09278520719828298,0.05794947994056464,0.10384678883935942,0.21652694507886003,0.1679771263349166,0.2152602697105885,0.17100129554542454,0.22923436333021036,CH,commensal,dysbiotic,0.2315042036326363,0.08878375919554628
Mucositis.2,PIM,0.9011165623413974,0.01319573676196921,0.015987142615462697,0.05971916765352732,0.009981390627643376,0.24892444414596396,0.16326265025348793,0.20526137936997027,0.16294887358872656,0.21960265264185122,CH,commensal,commensal,0.3962386980131513,0.05494513449808961
Peri-implantitis.1,PI,0.6240454626176523,0.0166933049191973,0.07423193038536673,0.26993429231042443,0.01509500976735926,0.19534281533560546,0.17066932416142222,0.22094789759360567,0.1780881312434336,0.23495183166593295,CH,commensal,dysbiotic,0.07428785673096755,-0.08644976924915192
Health.1,PIH,0.7262295081967213,0.018032786885245903,0.02459016393442623,0.22950819672131148,0.001639344262295082,0.21515158907830575,0.16805154399349304,0.2151744187791061,0.17231760823557288,0.22930483991352232,CH,commensal,dysbiotic,0.17804430402035043,-0.051449976885248924
Health.2,PIH,0.9054294615042279,0.00778816199376947,0.051846906987093905,0.03404539385847797,0.0008900756564307966,0.24976367253863951,0.16314115968662404,0.20501384424492974,0.16272195200910483,0.21935937152070195,CH,commensal,commensal,0.4167895720844987,0.047883129593871136
Peri-implantitis.2,PI,0.21745898694767093,0.05747814632978086,0.41276493833073885,0.30930427493713325,0.002993653454676087,0.1439985512065968,0.17525978531932193,0.23983063918511616,0.1905342248719055,0.25037679941705965,CS,commensal,dysbiotic,-0.24939819534036992,-0.2713952345851012
Peri-implantitis.3,PI,0.24320457796852646,0.0034334763948497852,0.0005722460658082976,0.7221745350500716,0.03061516452074392,0.13632667657852748,0.16916877620772747,0.22123900939535607,0.23538383619457218,0.23788170162381686,CH,commensal,dysbiotic,-0.4572314421025056,-0.2972682642220222
Peri-implantitis.4,PI,0.1445966514459665,0.004185692541856925,0.0,0.762937595129376,0.0882800608828006,0.13273555020590969,0.16807735820901631,0.2197795930398281,0.24266720774502398,0.23674029080022185,CH,commensal,dysbiotic,-0.5762139708369312,-0.27916662578270535
Peri-implantitis.5,PI,0.18347089002899844,0.002453714030782958,0.0007807271916127593,0.7967878652687932,0.016506803479812624,0.13204255815918,0.16712696067677027,0.2178199185459814,0.24790632103608812,0.23510424158198015,CH,commensal,dysbiotic,-0.5359428121225551,-0.34949562620309366
Health.3,PIH,0.5823445657332701,0.03713811105837684,0.19387755102040816,0.17489321309919317,0.01174655908875178,0.18802706304452152,0.17181746967413372,0.22407957663884895,0.17840851590637885,0.237667374736117,CS,commensal,dysbiotic,0.09373672634019031,-0.09023782216085308
Health.4,PIH,0.6475912702403701,0.03630694961279292,0.25575781957155785,0.0574273358141406,0.0029166247611384895,0.19996845188036877,0.1701038322800761,0.2208371412085288,0.1748011600658789,0.23428941456514743,CS,commensal,dysbiotic,0.20841031436526736,-0.057188716781431476
Health.5,PIH,0.858664697816686,0.013078789157261891,0.12382660056956017,0.004429912456491931,0.0,0.2409976838425873,0.16444812662451014,0.2077436907703654,0.16483801906365186,0.2219724796988854,CS,commensal,commensal,0.3973327411795475,0.031667414783672077
Health.6,PIH,0.6769485560500983,0.021322844426042854,0.27988821033019357,0.020494772797847012,0.0013456163958182382,0.2053568032149366,0.16926815129632414,0.21935946760799993,0.17329222666705094,0.23272335121368856,CS,commensal,dysbiotic,0.25101295602869184,-0.04619139191835592
Health.7,PIH,0.8710558059805726,0.015998984191479906,0.1069773347723954,0.005269506697987429,0.0006983683575645991,0.24328443024083973,0.1640975952373954,0.20703520133950468,0.1642867273646025,0.22129604581765763,CS,commensal,commensal,0.4058898334002791,0.03874908579904787
Health.8,PIH,0.7043671354552183,0.06572908956328645,0.2244263508512213,0.005477424130273871,0.0,0.21106442532907202,0.16866461516371742,0.2172198018571243,0.1721111258264751,0.23094003182361103,CS,commensal,dysbiotic,0.27907338728791514,-0.019682160703506882
Health.9,PIH,0.4985898942420682,0.16227967097532314,0.2918918918918919,0.0472385428907168,0.0,0.17323494663930045,0.17375859710872177,0.22944910154206774,0.1813080398703981,0.2422493148395119,CS,commensal,dysbiotic,0.09945267449230533,-0.08487140670803149
Health.10,PIH,0.2797823596792669,0.2472794959908362,0.2739117983963345,0.19902634593356242,0.0,0.14879281359516772,0.1773793643581095,0.2365217056719374,0.18828917314975627,0.24901694322502926,CS,commensal,dysbiotic,-0.147686160345021,-0.17328387701969658
Health.11,PIH,0.6282293119002706,0.034856064955302225,0.04748626260969409,0.180513409333224,0.10891495120150907,0.1966689559631466,0.17071365638969763,0.22120312662687372,0.17639986848377218,0.23501439253650985,CH,commensal,dysbiotic,0.08655966017527705,0.04041967760627049
Health.12,PIH,0.4517625231910946,0.016233766233766232,0.0017393320964749536,0.3375463821892393,0.19271799628942485,0.16526300241088238,0.17406066979912288,0.22937800696650018,0.18801809132167838,0.24328022950181621,CH,commensal,dysbiotic,-0.1624202403601729,0.03358308548726877
Peri-implantitis.6,PI,0.931604266889772,0.0009412256850031374,0.017360384856724535,0.040995607613469986,0.009098514955030328,0.25460700194606806,0.16239672231929958,0.20353340135920378,0.161530006392667,0.21793286798276168,CH,commensal,commensal,0.4297592864852097,0.06581237947664505
Mucositis.3,PIM,0.5353184090415127,0.006520321669202347,0.21690936752879808,0.22082156053031948,0.020430341230167355,0.17942996771818712,0.1728135505072256,0.2266254873199948,0.18101770671907344,0.2401132877355191,CS,commensal,dysbiotic,0.031323447227403656,-0.11643441781908213
Mucositis.4,PIM,0.9790626509904977,0.007247543887904655,0.00483169592526977,0.008213883072958608,0.0006442261233693026,0.26341065481857906,0.16110591160572746,0.2008352513991928,0.15932628214213068,0.21532190003436996,CH,commensal,commensal,0.48607147017812474,0.0830927725459127
Mucositis.5,PIM,0.9645982498011137,0.0011933174224343676,0.010342084327764518,0.017899761336515514,0.0059665871121718375,0.2606982491340645,0.16148623163545336,0.20167318825003203,0.16000864950552107,0.21613368147492898,CH,commensal,commensal,0.46807085911181306,0.07971379827309719
Mucositis.6,PIM,0.7616515837104072,0.0023755656108597283,0.08291855203619909,0.1323529411764706,0.020701357466063348,0.22232115518396312,0.16713112926506468,0.2133973254260894,0.16968480417709517,0.22746558594778762,CH,commensal,dysbiotic,0.2487083669401305,-0.006674647107368566
Mucositis.7,PIM,0.8530730677921393,0.0073859140068583485,0.13215510419414403,0.0073859140068583485,0.0,0.2399141706554909,0.16459735956071933,0.20808308933374906,0.16510800014131852,0.2222973803087222,CS,commensal,commensal,0.3916944777434784,0.02702654253512484
Mucositis.8,PIM,0.544358020516289,0.023447187464772857,0.1176868447751099,0.294555292526209,0.019952654717619207,0.18065681332414854,0.172503369699695,0.2252333624009904,0.18248304492558232,0.23912340964958378,CH,commensal,dysbiotic,-0.0009216486351364406,-0.11688983591098019
Health.13,PIH,0.8859703337453646,0.028275648949320147,0.05160692212608158,0.02796662546353523,0.006180469715698393,0.24608707028857854,0.16368885577949188,0.20614377419436775,0.16363137824959031,0.22044892148797163,CH,commensal,commensal,0.40269335879017637,0.05267593646329571
Health.14,PIH,0.3397448105122834,0.03466006474957151,0.012854694343934488,0.32708055608455533,0.2856598743096553,0.1520933968793302,0.17524945651661772,0.23397012757741656,0.19092678461728477,0.24776023440935072,CH,commensal,dysbiotic,-0.2790821194082461,0.09844637637499613
Health.15,PIH,0.8344424826836887,0.1077685725926932,0.05385033274480511,0.0029200054325682467,0.0010186065462447372,0.23640854176344592,0.1651807541537256,0.2091106806836754,0.16599846981079489,0.2233015535883582,CH,commensal,commensal,0.3771420894185284,0.05243207059736057
Mucositis.9,PIM,0.9456589631480324,0.004996876951905059,0.030293566520924423,0.018738288569643973,0.0003123048094940662,0.257275379072937,0.1620245958452935,0.20271240161030912,0.16085164153845075,0.21713598193300965,CH,commensal,commensal,0.455508982760312,0.06596673648202717
Mucositis.10,PIM,0.9443913320586361,0.005019120458891013,0.03138942001274697,0.01904079031230083,0.00015933715742511153,0.25706001325345723,0.16206146903882693,0.20277624503893266,0.16090466140248366,0.21719761126629966,CH,commensal,commensal,0.4544537881453136,0.06520154306677449
Mucositis.11,PIM,0.9446489780373238,0.005014599466802082,0.031166687825314204,0.018979306842706614,0.00019042782785324362,0.2571026782002331,0.16205384140022955,0.20276374507731199,0.16089418927133467,0.21718554605089058,CH,commensal,commensal,0.4546682564173223,0.0653570686041389
Mucositis.12,PIM,0.6273230525899565,0.009292210359826018,0.06702253855278767,0.2962962962962963,6.590220113351786e-05,0.19572848936107143,0.17050172831740307,0.22047741517454836,0.17870522638840944,0.23458714075856762,CH,commensal,dysbiotic,0.0690681687490774,-0.1079729490196347
Health.16,PIH,0.8382120946538124,0.026993865030674847,0.08326029798422437,0.050920245398773004,0.0006134969325153375,0.23707434594716476,0.16502552835338713,0.20890823141491502,0.16587641737651085,0.22311547690802216,CH,commensal,commensal,0.3568231155219878,0.02194840859525884
Mucositis.13,PIM,0.6061246040126715,0.018373812038014782,0.06546990496304118,0.31003167898627243,0.0,0.1916686403866941,0.17099406651185764,0.22151424194791897,0.1801901801569405,0.2356328709965887,CH,commensal,dysbiotic,0.04564181717468102,-0.11622370532212373
Mucositis.14,PIM,0.9149649941656943,0.033109684947491246,0.04288214702450408,0.009043173862310384,0.0,0.2517540489098351,0.16290463573187833,0.2043879006203158,0.1622032116943273,0.21875020304364345,CH,commensal,commensal,0.43689790962117697,0.06223711456431892
Mucositis.15,PIM,0.8169739493916548,0.039561095767709185,0.10651638426513399,0.031947450921848176,0.005001119653653803,0.2329844079320871,0.16561498901080976,0.21018514885774084,0.16687594232041902,0.22433951187894327,CH,commensal,commensal,0.34873145157492763,0.02402286181068459
Peri-implantitis.7,PI,0.1013060360042358,0.01200141193081539,0.0004118131544887634,0.20125897164372278,0.6850217672667372,0.14152728355220778,0.17003094464305465,0.23737695839850503,0.18653293612391664,0.2645318772823159,DS,dysbiotic,dysbiotic,-0.5520190540532837,0.4619186574131257
Health.17,PIH,0.8662420382165605,0.04670912951167728,0.04670912951167728,0.016985138004246284,0.02335456475583864,0.24236753959253174,0.16424286730877294,0.207289013083022,0.16454817419851897,0.22155240581715427,CH,commensal,commensal,0.3862700805252351,0.07099732558601732
Health.18,PIH,0.20543054954565124,0.0665296408481177,0.11758978797057551,0.44612721765469493,0.16432280398096064,0.14313069193045594,0.17493077427602904,0.2335571304980704,0.2007211862917173,0.24766021700372712,CH,commensal,dysbiotic,-0.39535549838078415,-0.10523726068772528
Health.19,PIH,0.8756775660080434,0.05210701171533485,0.05175730022731247,0.016611295681063124,0.003846826368246197,0.2441709059722055,0.16398361455500832,0.2067322048706837,0.1640985312273435,0.22101474337475893,CH,commensal,commensal,0.4012641992037214,0.054450352442999096
Mucositis.16,PIM,0.4580374435119432,0.011727996556918443,0.010114052076608565,0.30234559931138366,0.21777490854314613,0.16651180015520284,0.17408653656330825,0.2296393813266346,0.18634594071200955,0.2434163412428447,CH,commensal,dysbiotic,-0.14906049545964298,0.06818801760729953
Mucositis.17,PIM,0.5642995620018669,0.14906297120700798,0.12579880807065413,0.14777051769943275,0.01306814102103827,0.18500725123634254,0.17247336983557904,0.22491405406759238,0.17909952813288962,0.2385057967275964,CH,commensal,dysbiotic,0.09116095822176518,-0.05771510255537535
Health.20,PIH,0.8092467850581752,0.02969993876301286,0.02510716472749541,0.11757501530924679,0.01837109614206981,0.23149231957780067,0.16583121260935874,0.21057468388081887,0.16736015644492117,0.22474162748710058,CH,commensal,commensal,0.2926765428539702,0.022130329444751524
Health.21,PIH,0.40055584505819003,0.019020323084940075,0.0036477331943720686,0.2623762376237624,0.31439986103873546,0.15881594329575313,0.1747482500365785,0.23277266242025746,0.18707536137079428,0.24658778287661665,CH,commensal,dysbiotic,-0.21023118831576904,0.16147407230614458
Health.22,PIH,0.8528502415458937,0.008792270531400966,0.008115942028985508,0.12608695652173912,0.0041545893719806765,0.23981406337281116,0.16460686143250863,0.20799745548280546,0.16531877340770185,0.22226284630417295,CH,commensal,commensal,0.3272925700278109,0.017251065524095603
Peri-implantitis.8,PI,0.4106763079540621,0.11527009783071034,0.033602722245852826,0.2988090174393875,0.14164185452998723,0.1602680133192902,0.17500789138436376,0.23159620180316082,0.18793996170929492,0.24518793178389042,CH,commensal,dysbiotic,-0.15497602244958375,-0.007006631543589516
Peri-implantitis.9,PI,0.268001844653798,0.006851571249752948,0.02892153633309177,0.17392450095526715,0.5223005468080901,0.14666621976784638,0.17355723011510615,0.23728458388993764,0.18766165391735823,0.2548303123097516,DS,dysbiotic,dysbiotic,-0.34657532152699966,0.34974491418451725
Peri-implantitis.10,PI,0.2518748579653057,0.017498674342852814,0.05666237406257102,0.2404363305810166,0.4335277630482539,0.14648251684535235,0.17481050828925535,0.23718714638789715,0.189337329963909,0.2521824985135861,DH,dysbiotic,dysbiotic,-0.35851000886098167,0.23545378591551147
Peri-implantitis.11,PI,0.608719052744887,0.04426803013993542,0.04184607104413348,0.11652314316469321,0.1886437029063509,0.19301375408675092,0.17117939107619531,0.22254929012377128,0.17697931003873113,0.2362782546745515,CH,commensal,dysbiotic,0.0734078559066807,0.13465886293377718
Mucositis.18,PIM,0.2683481888867817,0.01213730324293571,0.040584107718566284,0.37113597572539353,0.30779442442632277,0.14659662313635835,0.17521424708232608,0.23489245819811094,0.1943968729864363,0.24889979859676822,CH,commensal,dysbiotic,-0.3644786541321885,0.07981326398581469
