:START_ID,:END_ID,:TYPE,oral:STRING,strain_details:STRING,co_culture:STRING,comments:STRING,reference:STRING
sp_fusobacterium_nucleatum_subsp_nucleatum,sp_lachnospiraceae_sp_hmt_500,SUPPORTS,Yes,,Support on diverse media,Satellite growth on PPA agar,Thompson2015 (10.1128/AEM.02156-15)
sp_fusobacterium_nucleatum_subsp_polymorphum,sp_anaerolineae_sp_hmt_439,SUPPORTS,Yes,Helper was strain  NCTC 10562T,,"Growth around ""helper"" streak or on membranes over “helper” lawns",Vartoukian2016 (10.1371/journal.pone.0146926)
sp_fusobacterium_nucleatum_subsp_polymorphum,sp_bacteroidetes_sp_hmt_365,SUPPORTS,Yes,helper strain  strain  NCTC 10562T,,Stronger growth near helper when first sub-cultured with it,Vartoukian2016 (10.1371/journal.pone.0146926)
sp_fusobacterium_nucleatum_subsp_polymorphum,sp_prevotella_sp_hmt_376,SUPPORTS,Yes,helper strain  NCTC 10562T,,Limited self-satellitism next to streak rather than dependence on helpers,Vartoukian2016 (10.1371/journal.pone.0146926)
sp_fusobacterium_periodonticum,sp_sr1_sp_hmt_875,SUPPORTS,Yes,,,,Cross2019 (10.1038/s41587-019-0260-6)
sp_klebsiella_pneumoniae,sp_parabacteroides_sp,SUPPORTS,No,Parabacteroides sp. is a human gut isolate,,Increased growth,Tanaka2015 (10.1111/1348-0421.12220)
sp_lachnoanaerobaculum_umeaense,sp_bacteroidaceae_sp_hmt_272,SUPPORTS,Yes,,,"Initially stimulated, later inhibited",Vartoukian2016 (10.1371/journal.pone.0146926)
sp_multiple,sp_multiple,SUPPORTS,Yes,,Complex clinical biofilms were used as inocula for enrichment procedure in liquid medium,,Thompson2015 (10.1128/AEM.02156-15)
sp_parvimonas_micra,sp_fretibacterium_fastidiosum,SUPPORTS,Yes,,Cooked Meat Medium (CMM) with Mucin and Serum supplementation,Growth after 8 passages,Vartoukian2010 (10.1111/j.1462-2920.2009.02135.x)
sp_parvimonas_micra,sp_lachnospiraceae_sp_hmt_500,SUPPORTS,Yes,co-isolates,Support on diverse media,Satellite growth on PPA agar,Thompson2015 (10.1128/AEM.02156-15)
