model,chain,stage,beta
Dysbiotic_HOBIC,1,0,0.0
Dysbiotic_HOBIC,1,1,0.08538368344306946
Dysbiotic_HOBIC,1,2,0.29368065639611896
Dysbiotic_HOBIC,1,3,0.793680656396119
Dysbiotic_HOBIC,1,4,0.9999999938512044
Dysbiotic_HOBIC,1,5,1.0
