name,index,MAP,mean,median,hdi_lower,hdi_upper,et_lower,et_upper,rhat,ess
a11,0,-0.345638377001215,-0.042179119585953516,-0.061382316226566536,-0.9971135138558063,0.9013386958162339,-0.9476586389765222,0.9532121736536417,0.9992890629102157,789.9489873194243
a12,1,-0.15790901818817615,-0.029304488251997475,-0.05550710873539694,-0.9383807614397321,0.9627502277847255,-0.9534775694674185,0.9560549272538104,1.0087297728725724,859.8644758537247
a22,2,0.7180211449904954,-0.022783920767421032,-0.04314806858440495,-0.9617386454669847,0.9192622851344086,-0.9379125610520042,0.9502778720041583,1.0014375077545181,1000.0
b1,3,0.11744884474693773,1.518079570650555,1.5175590501766618,0.02251819271926858,2.8388631630557923,0.0730325486544749,2.9044449607326412,0.9995637631181319,986.7210031957055
b2,4,0.12319204121806487,1.428840417909717,1.384881723143012,0.0165396362419461,2.8445703135720706,0.07330108852734087,2.9303409895449546,1.0025491476748203,1000.0
a33,5,3.9782972757669643,2.9383721424460654,2.9368667286209815,1.1583885795016282,4.950770447709102,1.087029164419093,4.917711485737199,0.9993446352017933,1000.0
a44,7,0.7822810599474201,0.3034688091462992,0.343142031382889,-0.5019021549021918,0.9984569581128038,-0.5943792635495629,0.9683534119240749,0.9995882893991106,1000.0
b3,8,0.07544089465828074,1.487509188273332,1.4891938516678405,0.07111620427001597,2.912233141282221,0.06604636125793036,2.909254819851548,0.999242656640691,1000.0
b4,9,2.9725468047224424,1.502913329330362,1.5429585102057193,0.01272855649244864,2.8933905283389545,0.050739318421613416,2.9355446979673356,0.9995253594821453,1000.0
a13,10,-0.8106579803808298,-0.025738149263739164,-0.02868481939287737,-0.9894475120083008,0.8841017029627904,-0.9509633280001774,0.9518853470423276,1.0005327694593786,1000.0
a14,11,0.8570190280212477,0.01688299734553009,0.05159774161202457,-0.9809032420918047,0.9070977358953716,-0.9529019011879579,0.94459643514139,1.0031038874496172,928.9628619380527
a55,14,-0.9424669585326273,0.014588449652674746,0.027425830016437613,-0.9991698835243401,0.8991117525004331,-0.9432017441425171,0.9556289311004208,1.0040683162182407,1000.0
b5,15,0.1586588375452624,0.09986509056430941,0.10128064975427295,0.010801979215575006,0.19980325938332877,0.005900584537940689,0.1963940224486709,1.0041726519445036,1000.0
a35,18,-0.5001406154543528,-1.4031455881828183,-1.3482705221117375,-2.841428632690615,-0.025157887057557282,-2.925081126019129,-0.06371488948898411,1.0005310159001626,939.1347189685002
a45,19,-0.01071866076787531,-0.034862303761398775,-0.045340428444696546,-0.9927352484225169,0.8537632062642506,-0.9532464975729525,0.9260918902281791,0.9993804681870032,1000.0
