name,index,MAP,mean,median,hdi_lower,hdi_upper,et_lower,et_upper,rhat,ess
a11,0,2.1061301939845194,2.3902115133895636,2.3037601166045185,0.004919605297642349,4.691153214965636,0.14392769523426016,4.8476698964534775,,911.8876462033214
a12,1,2.645548505650085,1.2530506440849685,1.2853373468447908,-0.28778696816866267,2.9966706943292367,-0.3900810628091831,2.939962132616872,,1000.0
a22,2,2.07255436687601,1.7782848663842723,1.5629682623766117,0.0051898237357910215,4.03137924529695,0.09235608948604333,4.516381076141205,,991.1567489695641
b1,3,2.3523228800037153,1.5981609600350328,1.6344058421530727,0.14814808129898016,2.999665348461862,0.07931427901955049,2.944068614825254,,1000.0
b2,4,2.2020991369822016,1.444625551334706,1.3799171983154157,0.002745724459748855,2.8327279075849985,0.04695496968032972,2.918932186530618,,894.1980125833701
a33,5,0.8619233809250404,1.4442199377626972,1.2563421600838904,0.005276676660918023,3.42908636399653,0.07411237473486054,3.8216140780240813,,1000.0
a34,6,0.5522965004091351,1.0975611948117525,1.0520124766148469,-0.49536374189353083,2.7296064280067474,-0.41951286560095913,2.8451085517355583,,882.7451860059491
a44,7,1.5243173544462796,2.2977846902399905,2.2016789951205196,0.004142340051595639,4.658810386445482,0.11101891325701244,4.85858359120188,,1000.0
b3,8,3.545441457875241,2.4997016467787985,2.4258559300457536,0.24006351998597364,4.978820569038632,0.12439704565125738,4.903115316819638,,1000.0
b4,9,2.6780504578240985,1.5985455452546262,1.6657874200186567,0.18973410265202995,2.9992720681328775,0.09431999856154226,2.932412452529556,,1000.0
a13,10,2.034827461536043,0.046128077061674384,0.12424273846618195,-2.872694819172523,2.7511398407564576,-2.8425848934699656,2.786189301514365,,1000.0
a14,11,2.060851858349837,1.1779153100915494,1.144088355365544,-0.44490700864246246,2.8405209951389496,-0.41473415469300673,2.8822342856908536,,1000.0
a23,12,2.3556707578236833,3.4936053991367593,3.558181729753919,1.8276862987383022,4.975100132899614,1.5463314976810614,4.9090426504293,,1000.0
a24,13,2.870242746832397,1.2781904700294304,1.3325159507737059,-0.42527420373188995,2.8966536410733568,-0.4221934398827099,2.896921379910024,,727.7229020002925
a55,14,0.023794172818004,2.5978896487118552,2.6206955366748783,0.2614906866181581,4.981122291685481,0.1377666699895765,4.873145355214856,,842.9696208348449
b5,15,0.47364092899744925,0.2520151590920302,0.2516437272779213,0.015267190589664921,0.4837024415242229,0.01634267816633874,0.48679038114761203,,851.6030949136529
a15,16,0.9387504668980313,1.1675818676365635,1.0606294914990115,-0.3505596311855559,2.9548033060994783,-0.4181674644208108,2.910836964058541,,1000.0
a25,17,-0.4763560270332825,1.0863466046830241,0.9953205666764309,-0.4917643003443777,2.774663333339691,-0.4191746314667907,2.8980026011517133,,1000.0
a35,18,28.644211660098932,19.555921657739155,19.99963570663099,8.529300484991726,29.967433144492023,6.865962947452243,29.49506380150906,,1000.0
a45,19,2.8562719238008665,6.01580998054601,5.004577306686814,0.009674046364928302,15.919970240701652,0.23192140903909456,17.989403579615814,,1000.0
