sample,Abiotrophia,Acanthostaurus,Actinomyces,Aerococcus,Aggregatibacter,Alloprevotella,Anaerococcus,Atopobium,Bifidobacterium,Campylobacter,Capnocytophaga,Cardiobacterium,Catonella,Centipeda,Corynebacterium,Cryptobacterium,Dialister,Eikenella,Finegoldia,Fusobacterium,Gemella,Granulicatella,Haemophilus,Johnsonella,Kingella,Lachnoanaerobaculum,Lacticaseibacillus,Lactiplantibacillus,Leptotrichia,Limosilactobacillus,Megasphaera,Mogibacterium,Neisseria,Olsenella,Oribacterium,P5D1-392,Parvimonas,Peptoniphilus,Peptostreptococcus,Porphyromonas,Prevotella,Prevotella_7,Pseudomonas,Rothia,Selenomonas,Shuttleworthia,Slackia,Solobacterium,Stomatobaculum,Streptococcus,Tannerella,Treponema,Veillonella
F_1,0.0,0.0,0.99,0.0,0.0,0.13,0.0,9.22,60.97,0.05,0.05,0.0,0.0,0.0,0.0,1.44,0.04,0.0,0.0,0.08,0.03,0.03,0.06,0.0,0.04,0.08,0.49,0.01,0.13,12.48,0.14,0.08,0.0,0.14,0.03,0.0,0.18,0.01,0.0,0.0,6.94,0.0,0.0,0.08,0.51,0.04,0.01,0.03,0.49,3.09,0.0,0.0,1.93
F_2,0.0,0.0,26.24,0.0,0.0,0.08,0.0,3.21,25.4,0.08,0.42,0.0,0.0,0.0,0.0,0.33,0.02,0.0,0.0,0.07,0.08,0.2,0.0,0.0,0.58,0.33,0.3,0.0,2.7,2.53,0.1,0.02,0.0,0.07,0.03,0.0,0.02,0.0,0.0,0.0,4.03,0.0,0.0,1.26,0.73,0.0,0.0,0.0,0.17,21.0,0.0,0.0,10.0
F_3,0.0,0.0,23.04,0.0,0.0,3.04,0.0,0.9,6.68,0.08,0.8,0.02,0.0,0.0,0.03,0.01,0.07,0.02,0.0,0.11,0.12,0.15,0.01,0.0,1.55,0.0,0.29,0.01,0.93,1.66,0.05,0.02,0.01,0.0,0.0,0.01,0.02,0.0,0.0,0.0,2.87,0.0,0.0,2.42,1.65,0.08,0.05,0.0,0.07,42.21,0.19,0.01,10.84
G_1,8.25,0.0,3.1,0.02,0.0,0.46,0.01,0.02,0.05,0.0,2.98,0.0,0.0,0.0,0.01,0.0,0.0,0.31,0.02,0.39,0.46,1.83,4.53,0.01,1.09,0.01,0.0,0.0,1.2,0.0,0.0,0.0,2.51,0.0,0.0,0.0,0.01,0.0,0.2,2.03,0.56,0.0,0.0,0.33,0.07,0.0,0.0,0.01,0.0,66.69,0.02,0.0,2.83
G_2,3.68,0.0,8.45,0.0,0.0,0.02,0.0,1.17,16.51,0.1,5.89,0.0,0.0,0.0,0.0,0.35,0.0,0.35,0.0,0.08,1.17,0.15,0.76,0.15,0.35,0.01,0.0,0.0,0.4,0.0,0.01,0.23,1.87,0.09,0.02,0.0,0.0,0.0,0.0,0.9,1.4,0.0,0.01,1.26,1.75,0.89,0.0,0.01,0.02,48.51,0.0,0.0,3.41
G_3,4.84,0.0,3.96,0.07,0.0,0.0,0.0,0.09,2.1,0.0,0.74,0.0,0.0,0.0,0.0,0.08,0.05,0.08,0.01,0.03,0.44,0.58,0.44,0.0,0.5,0.0,0.01,0.03,0.05,0.0,0.01,0.01,5.8,0.01,0.0,0.0,0.0,0.02,0.03,0.02,0.01,0.0,0.0,12.33,0.01,0.03,0.0,0.01,0.01,67.38,0.0,0.0,0.23
H_1,1.08,0.0,3.36,0.0,0.98,0.0,0.0,0.38,0.0,0.22,2.57,0.03,0.05,0.0,0.14,0.0,0.0,0.33,0.0,0.89,1.03,5.69,7.94,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.3,15.69,0.0,0.03,0.0,0.43,0.0,0.0,1.33,0.87,0.0,0.0,5.12,0.0,0.0,0.0,0.57,0.0,49.13,0.0,0.0,1.19
H_2,0.56,0.0,7.07,0.0,15.54,0.87,0.0,0.57,0.0,0.21,1.16,0.18,0.02,0.09,5.36,0.0,0.01,0.01,0.0,0.05,3.19,3.08,1.48,0.26,0.0,0.28,0.0,0.0,0.05,0.0,0.02,0.07,13.39,0.0,0.01,0.0,0.22,0.0,0.43,9.17,2.86,0.0,0.0,6.87,2.8,0.0,0.06,0.02,0.01,23.31,0.0,0.0,0.71
H_3,0.36,0.0,2.96,0.0,4.1,0.23,0.0,0.03,0.0,0.05,1.44,0.07,0.01,0.0,0.54,0.0,0.0,0.01,0.0,0.3,0.41,0.85,0.72,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.01,18.57,0.0,0.05,0.0,0.0,0.0,0.02,2.7,0.4,0.0,0.0,17.3,0.16,0.0,0.0,0.0,0.0,48.45,0.0,0.0,0.23
K_1,0.0,0.0,2.87,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.02,0.42,0.0,3.53,0.67,1.85,2.46,0.0,0.01,0.01,0.0,0.0,0.0,7.16,0.0,0.0,0.01,0.0,0.0,0.01,0.94,0.0,0.0,0.0,0.0,0.0,0.01,11.15,0.0,0.0,0.0,0.07,0.0,64.65,0.0,0.0,4.13
K_2,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.76,0.07,0.0,44.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,13.07,0.0,0.0,4.07
K_3,0.0,0.0,20.96,0.0,0.0,0.04,0.0,0.86,0.02,0.16,0.87,0.0,0.0,0.0,0.1,0.0,0.01,0.09,0.0,0.92,0.51,1.87,2.4,0.0,2.46,0.03,1.37,0.07,0.0,7.83,0.0,0.0,0.01,0.0,0.0,0.0,1.06,0.0,0.0,0.0,2.18,0.0,0.0,10.84,0.0,0.01,0.01,0.22,0.0,40.77,0.0,0.0,4.32
L_1,0.0,0.0,0.87,0.0,0.43,0.0,0.0,0.0,3.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74,0.0,2.82,0.22,0.0,0.0,0.0,20.17,0.0,0.0,53.8,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,1.95,0.0,0.0,0.0,0.0,0.0,14.53,0.0,0.0,0.22
L_2,0.0,0.0,27.32,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.71,0.0,0.0,0.0,0.0,0.0,1.33,7.43,4.77,0.0,0.0,0.0,0.0,0.0,0.0,11.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.85,0.0,0.0,2.65
L_3,0.0,0.0,1.63,0.0,0.0,0.0,0.0,2.01,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.09,0.04,0.0,0.0,0.26,0.14,0.64,0.64,0.0,0.0,0.02,1.13,0.0,0.0,46.67,0.0,0.0,0.0,0.06,0.09,0.0,0.12,0.0,0.0,0.0,0.53,0.0,0.0,2.19,0.0,0.0,0.1,0.04,0.02,39.44,0.0,0.0,4.1
