name,index,MAP,mean,median,hdi_lower,hdi_upper,et_lower,et_upper,rhat,ess
a11,0,0.9078513371495024,2.4079308622218782,2.4923775450082264,0.07014948498946194,4.671304691126382,0.09245738391321529,4.7953034848461575,1.0002727972459253,400.0
a12,1,1.0413593783607338,1.1345610255121894,1.0918459900945527,-0.4672213528902791,2.813094904027035,-0.4381821688471262,2.8940132036513595,1.0164517768929051,373.3233368154953
a22,2,0.04012845264930365,2.499253064841964,2.4651385335101295,0.2236574758038774,4.994642020585162,0.09099782839612627,4.922839309520885,0.9975414275270359,316.50159970296227
b1,3,2.8594067068212885,1.7220223495898483,1.8050715089305982,0.3236636110359403,2.999808842063395,0.12083073338636424,2.960100078927946,0.9976020619694044,310.2596776964507
b2,4,0.2720569756873248,1.416437739179183,1.3159519844859777,0.17222211866550374,2.95522566613612,0.09782659385918749,2.899436219959405,1.0013780812110709,337.6506427451359
a33,5,3.288324179091939,2.517902347760593,2.4897726403441975,0.2213035657359766,4.993520502940919,0.1066968235559112,4.905336522307334,0.9978136851529797,381.3500203241388
a34,6,2.615427807540054,1.286790705392752,1.318728674893732,-0.26342112720160954,2.9920210542256993,-0.3813362161921845,2.9321321726856953,0.9976905595575482,400.0
a44,7,0.5433360327184955,2.4833593261341407,2.520653813137102,0.035255869528327155,4.704560693890852,0.11337152553866284,4.838125973219398,1.0040614381595074,383.00355999081563
b3,8,0.7320065304055436,2.067541378294894,1.8100829812142472,0.04830503922070739,4.667513556292438,0.1309816901605908,4.824366932530432,1.0030519567382352,400.0
b4,9,2.6213708415945147,1.8838800510936144,1.9825394828201746,0.40712551410739584,2.998852096099758,0.2917560815987196,2.953797411447576,0.9975343505549009,361.8998122316291
a13,10,1.4508821553262763,0.29964409159436983,0.5093694786746741,-2.554716140415456,2.966738229946178,-2.843831463198348,2.9139835354925503,0.9986127154462447,394.0368334694338
a14,11,-0.23398540420196312,1.106391528197978,0.9818770920146707,-0.42361652783072046,2.7913756552682845,-0.376246169915443,2.8888316041009388,1.008089079519751,343.1574931977873
a23,12,1.4233958634177721,2.6465554062581953,2.7752294867038723,0.1848010675509772,4.844495633038944,0.1464348295609604,4.826228038596552,0.9988606874857185,354.4272402587826
a24,13,2.208023534852699,1.3090063141410575,1.3386118284573008,-0.40154233903572656,2.8812274998356826,-0.40899735759050676,2.879143715357863,1.0087865391253912,255.4843931467784
a55,14,2.1855324258585402,2.233415078269416,2.1368899816096887,0.0026746515860232023,4.637749196867335,0.07863886550319611,4.776430687265177,1.002270606864333,396.61131074643566
b5,15,0.0030315734769748026,0.22115221621839143,0.20839271296276585,0.0010938745456838816,0.46624780530119403,0.006149179228027126,0.4805607765149487,0.9981658975645392,400.0
a15,16,0.35601199159395835,1.101396683937415,0.9708853657434805,-0.42459350027890064,2.8354989765128717,-0.4211465175595846,2.8357006217943925,0.9976478241727214,400.0
a25,17,0.841661232528899,1.2785035276404313,1.3477991885600922,-0.4445407278797524,2.7928235430501425,-0.39384889555976776,2.8738334574304014,0.9982524174053317,358.64784528635414
a35,18,3.6832506870557133,2.9431809518180803,3.1813126339011992,0.405211339498513,4.963538662856287,0.23135699470053722,4.92091077768918,1.004561591729001,320.7852232465366
a45,19,0.2532923570851612,2.2622659237881715,2.235751952574782,0.0012892344425861069,4.704462542418046,0.04816911578054751,4.852225369336268,1.0069221412901452,400.0
