model,chain,stage,beta,beta_next,delta_beta,ess,ess_target,accept_rate,logL_min,logL_max,linearization_enabled,rom_error_pre,rom_error_post,delta_theta0
Dysbiotic_HOBIC,1,1,0.0,0.5,0.5,130.62352671980173,100.0,0.844,4.203107546065777,9.008609063968525,0,nan,nan,nan
Dysbiotic_HOBIC,1,2,0.5,0.9999999850988388,0.4999999850988388,180.73911131502618,100.0,0.71,4.289670278724614,8.945543736749626,0,nan,nan,nan
Dysbiotic_HOBIC,1,3,0.9999999850988388,1.0,1.4901161193847656e-08,199.99999999999997,100.0,0.762,5.8242920133930065,8.960308413726148,1,0.0,nan,6.061444849602488
Dysbiotic_HOBIC,2,1,0.0,0.5,0.5,125.94257263382552,100.0,0.824,4.3272968213293295,8.773252708577207,0,nan,nan,nan
Dysbiotic_HOBIC,2,2,0.5,0.9999999850988388,0.4999999850988388,185.1775359136118,100.0,0.748,5.849909398504465,8.812047811356283,0,nan,nan,nan
Dysbiotic_HOBIC,2,3,0.9999999850988388,1.0,1.4901161193847656e-08,200.00000000000003,100.0,0.77,4.293763385280911,8.98926384016788,1,0.0,nan,6.9204532774075185
