name,index,MAP,mean,median,hdi_lower,hdi_upper,et_lower,et_upper,rhat,ess
a11,0,0.606566850233509,2.404121954780651,2.3034710647352554,0.03736322176589957,4.698785866007171,0.13929252345504659,4.849983057098297,1.0049962959857446,1000.0
a12,1,2.4758315494339693,1.1616396847830246,1.13988531145387,-0.45244953909398955,2.8431995655783813,-0.415828263471889,2.8834407203652352,1.0002689557676283,1000.0
a22,2,0.4919275760869386,2.438395794616751,2.3743523317137347,0.26844001333267475,4.935514435840288,0.16376955356801465,4.8652758267699925,1.0027689682494423,1000.0
b1,3,2.9594514033768213,1.6614957369098717,1.670726903321837,0.2751613761329583,2.981935519129357,0.15232212096027956,2.912896879141615,1.00630997217679,1000.0
b2,4,0.2148838257270831,1.4474420165294812,1.4122877377255172,0.13266171681174477,2.942143314799253,0.09063839791335458,2.9277155854849797,1.005298510660488,974.241572221467
a33,5,4.3341293570395,2.7734782934851077,2.857345769340652,0.4327470547220276,4.991007106087267,0.1917204514801175,4.882091602315834,1.00115551453675,1000.0
a34,6,2.704823160793727,1.2853235108109926,1.2657425144564178,-0.30022342940639724,2.9988780957273,-0.384467708647017,2.918799066918628,1.006044282157934,1000.0
a44,7,0.14053648778501326,2.281440445043096,2.21812240472141,0.015522765350408751,4.68484636027906,0.11381910468427354,4.831214116758766,1.000650899719003,976.5924719257695
b3,8,1.014377894467355,2.1138057244377464,1.7897598219228457,0.013305949061185984,4.647544626073735,0.1638155676803504,4.835367071199294,1.001495251315893,691.7458346415257
b4,9,2.1674913649451772,1.8319852262853822,1.9477438439917734,0.3732979779722201,2.992321314172958,0.17847577489273522,2.956256367344316,1.004836478574572,1000.0
a13,10,-1.4358370162199492,0.18853351526922502,0.30672002326656544,-2.8432082896642004,2.852728891780659,-2.8284454060908604,2.881347111215988,0.9990680622171358,1000.0
a14,11,1.8397745122526628,1.0648543310334255,0.9300948424005329,-0.4870838781292752,2.726264604822646,-0.4083996413174393,2.8433016480008044,1.0000576231672622,1000.0
a23,12,3.1025169926528084,2.6980509504771772,2.840091815874941,0.24949457135201492,4.967884153553776,0.14508276431831668,4.879646259678327,0.9999676105857348,770.7413178126553
a24,13,1.9655358106135568,1.2652320628138973,1.309611219616623,-0.4790242925991439,2.7928497191810973,-0.42829850247922124,2.8635506351899713,0.9999794068293945,1000.0
a55,14,0.9787039683162995,2.383490275058649,2.3268789741954152,0.028107118434467226,4.695124214317398,0.09818488938775687,4.828590124889786,1.0003044119328612,1000.0
b5,15,0.01018584213018614,0.23026945475129953,0.22574004182434015,0.009979975639905603,0.4779739514875536,0.011800005902785958,0.48608964256958953,1.0025374831048217,972.1585279364457
a15,16,1.251821800642482,1.153262961007112,1.096310496703735,-0.4858941881983121,2.803251640774792,-0.4333258054412746,2.8880302004929783,1.0021864186564824,982.5077912602164
a25,17,-0.131056041499916,1.3169761629192422,1.3451077003632568,-0.29212345881646584,2.995654351838347,-0.41138978531586823,2.92800114766618,0.9991017516581092,863.3342605062963
a35,18,3.955247245510243,2.933391342801509,3.1624516437393537,0.40192893265451124,4.998938558183976,0.22199412465198118,4.922088549418409,0.9996938368096353,1000.0
a45,19,1.345486093741179,2.219117003844043,2.1118466429436764,0.012721732683903753,4.700195130295462,0.09615349512331635,4.828499404325237,1.0095297931311276,845.5371873630086
