model,chain,stage,beta,beta_next,delta_beta,ess,ess_target,accept_rate,logL_min,logL_max,linearization_enabled,rom_error_pre,rom_error_post,delta_theta0
Dysbiotic_HOBIC,1,1,0.0,0.16627484560012817,0.16627484560012817,500.00002924695303,500.0,0.5134,-15.087864457371678,10.369174485737389,0,nan,nan,nan
Dysbiotic_HOBIC,1,2,0.16627484560012817,0.6031254738355134,0.43685062823538523,500.0000086925544,500.0,0.4734,-0.1414890898439575,10.473034640500583,0,nan,nan,nan
Dysbiotic_HOBIC,1,3,0.6031254738355134,0.9999999881722175,0.396874514336704,872.7725399239146,500.0,0.5064,0.48840029001591867,10.473034640500583,0,0.0,nan,7.007100656249493
Dysbiotic_HOBIC,1,4,0.9999999881722175,1.0,1.1827782531170783e-08,1000.0,500.0,0.4904,0.08933240892169489,10.71654189654258,0,nan,nan,nan
