model,chain,stage,beta
Dysbiotic_HOBIC,1,0,0.0
Dysbiotic_HOBIC,1,1,0.16627484560012817
Dysbiotic_HOBIC,1,2,0.6031254738355134
Dysbiotic_HOBIC,1,3,0.9999999881722175
Dysbiotic_HOBIC,1,4,1.0
