sample	genus	count	percent
H_2	Streptococcus	1909	23.31
H_2	Aggregatibacter	1273	15.54
H_2	Neisseria	1097	13.39
H_2	Porphyromonas	751	9.17
H_2	Actinomyces	579	7.07
H_2	Rothia	563	6.87
H_2	Corynebacterium	439	5.36
H_2	Gemella	261	3.19
H_2	Granulicatella	252	3.08
H_2	Prevotella	234	2.86
H_2	Selenomonas	229	2.80
H_2	Haemophilus	121	1.48
H_2	Capnocytophaga	95	1.16
H_2	Alloprevotella	71	0.87
H_2	Veillonella	58	0.71
H_2	Atopobium	47	0.57
H_2	Abiotrophia	46	0.56
H_2	Peptostreptococcus	35	0.43
H_2	Lachnoanaerobaculum	23	0.28
H_2	Johnsonella	21	0.26
H_2	Parvimonas	18	0.22
H_2	Campylobacter	17	0.21
H_2	Cardiobacterium	15	0.18
H_2	Centipeda	7	0.09
H_2	Mogibacterium	6	0.07
H_2	Slackia	5	0.06
H_2	Fusobacterium	4	0.05
H_2	Leptotrichia	4	0.05
H_2	Megasphaera	2	0.02
H_2	Catonella	2	0.02
H_2	Solobacterium	2	0.02
H_2	Stomatobaculum	1	0.01
H_2	Dialister	1	0.01
H_2	Oribacterium	1	0.01
H_2	Eikenella	1	0.01
