sample	genus	count	percent
E_3	Streptococcus	4410	59.58
E_3	Actinomyces	507	6.85
E_3	Selenomonas	440	5.94
E_3	Neisseria	331	4.47
E_3	Veillonella	328	4.43
E_3	Abiotrophia	281	3.80
E_3	Prevotella	252	3.40
E_3	Granulicatella	235	3.17
E_3	Bifidobacterium	205	2.77
E_3	Gemella	90	1.22
E_3	Rothia	75	1.01
E_3	Haemophilus	69	0.93
E_3	Atopobium	41	0.55
E_3	Peptostreptococcus	32	0.43
E_3	Capnocytophaga	25	0.34
E_3	Leptotrichia	10	0.14
E_3	Megasphaera	10	0.14
E_3	Aggregatibacter	8	0.11
E_3	Mogibacterium	7	0.09
E_3	Kingella	7	0.09
E_3	Stomatobaculum	6	0.08
E_3	Cardiobacterium	6	0.08
E_3	Shuttleworthia	5	0.07
E_3	Fusobacterium	4	0.05
E_3	Oribacterium	4	0.05
E_3	Parvimonas	2	0.03
E_3	Campylobacter	2	0.03
E_3	Cryptobacterium	2	0.03
E_3	Corynebacterium	2	0.03
E_3	Lacticaseibacillus	1	0.01
E_3	Eikenella	1	0.01
E_3	Porphyromonas	1	0.01
E_3	Lachnoanaerobaculum	1	0.01
E_3	Olsenella	1	0.01
E_3	Pseudomonas	1	0.01
