sample	genus	count	percent
G_3	Streptococcus	11560	67.38
G_3	Rothia	2116	12.33
G_3	Neisseria	995	5.80
G_3	Abiotrophia	830	4.84
G_3	Actinomyces	680	3.96
G_3	Bifidobacterium	360	2.10
G_3	Capnocytophaga	127	0.74
G_3	Granulicatella	99	0.58
G_3	Kingella	85	0.50
G_3	Haemophilus	76	0.44
G_3	Gemella	75	0.44
G_3	Veillonella	40	0.23
G_3	Atopobium	15	0.09
G_3	Cryptobacterium	13	0.08
G_3	Eikenella	13	0.08
G_3	Aerococcus	12	0.07
G_3	Dialister	8	0.05
G_3	Leptotrichia	8	0.05
G_3	Peptostreptococcus	6	0.03
G_3	Lactiplantibacillus	6	0.03
G_3	Fusobacterium	5	0.03
G_3	Shuttleworthia	5	0.03
G_3	Porphyromonas	4	0.02
G_3	Peptoniphilus	4	0.02
G_3	Lacticaseibacillus	2	0.01
G_3	Megasphaera	2	0.01
G_3	Prevotella	2	0.01
G_3	Selenomonas	2	0.01
G_3	Stomatobaculum	2	0.01
G_3	Olsenella	1	0.01
G_3	Mogibacterium	1	0.01
G_3	Solobacterium	1	0.01
G_3	Finegoldia	1	0.01
