sample	genus	count	percent
C_2	Actinomyces	2451	33.85
C_2	Streptococcus	2240	30.94
C_2	Selenomonas	640	8.84
C_2	Veillonella	517	7.14
C_2	Haemophilus	426	5.88
C_2	Neisseria	155	2.14
C_2	Atopobium	137	1.89
C_2	Prevotella	124	1.71
C_2	Abiotrophia	64	0.88
C_2	Fusobacterium	64	0.88
C_2	Granulicatella	63	0.87
C_2	Capnocytophaga	59	0.81
C_2	Bifidobacterium	52	0.72
C_2	Shuttleworthia	48	0.66
C_2	Olsenella	34	0.47
C_2	Mogibacterium	34	0.47
C_2	Oribacterium	27	0.37
C_2	Peptostreptococcus	18	0.25
C_2	Gemella	8	0.11
C_2	Stomatobaculum	7	0.10
C_2	Campylobacter	7	0.10
C_2	Cardiobacterium	7	0.10
C_2	Alloprevotella	7	0.10
C_2	Lachnoanaerobaculum	6	0.08
C_2	Rothia	5	0.07
C_2	Tannerella	5	0.07
C_2	Slackia	5	0.07
C_2	Leptotrichia	5	0.07
C_2	Aggregatibacter	4	0.06
C_2	Dialister	4	0.06
C_2	Eikenella	3	0.04
C_2	Anaerococcus	2	0.03
C_2	Centipeda	2	0.03
C_2	Solobacterium	2	0.03
C_2	Finegoldia	2	0.03
C_2	Corynebacterium	2	0.03
C_2	Kingella	2	0.03
C_2	Cryptobacterium	1	0.01
C_2	Prevotella_7	1	0.01
