sample	genus	count	percent
B_3	Streptococcus	1613	34.86
B_3	Rothia	727	15.71
B_3	Neisseria	569	12.30
B_3	Actinomyces	536	11.58
B_3	Capnocytophaga	416	8.99
B_3	Abiotrophia	286	6.18
B_3	Veillonella	268	5.79
B_3	Leptotrichia	65	1.40
B_3	Fusobacterium	55	1.19
B_3	Bifidobacterium	20	0.43
B_3	Prevotella	13	0.28
B_3	Granulicatella	10	0.22
B_3	Cardiobacterium	8	0.17
B_3	Gemella	7	0.15
B_3	Lachnoanaerobaculum	6	0.13
B_3	Haemophilus	6	0.13
B_3	Stomatobaculum	5	0.11
B_3	Eikenella	5	0.11
B_3	Alloprevotella	3	0.06
B_3	Atopobium	2	0.04
B_3	Cryptobacterium	1	0.02
B_3	Limosilactobacillus	1	0.02
B_3	Oribacterium	1	0.02
B_3	Johnsonella	1	0.02
B_3	Mogibacterium	1	0.02
B_3	Campylobacter	1	0.02
B_3	Pseudomonas	1	0.02
