sample	genus	count	percent
E_2	Streptococcus	1656	47.37
E_2	Actinomyces	531	15.19
E_2	Granulicatella	497	14.22
E_2	Gemella	347	9.93
E_2	Veillonella	214	6.12
E_2	Porphyromonas	44	1.26
E_2	Selenomonas	43	1.23
E_2	Prevotella	43	1.23
E_2	Capnocytophaga	32	0.92
E_2	Haemophilus	22	0.63
E_2	Neisseria	19	0.54
E_2	Aggregatibacter	17	0.49
E_2	Oribacterium	5	0.14
E_2	Campylobacter	4	0.11
E_2	Eikenella	4	0.11
E_2	Fusobacterium	4	0.11
E_2	Peptoniphilus	3	0.09
E_2	Solobacterium	2	0.06
E_2	Leptotrichia	2	0.06
E_2	Alloprevotella	2	0.06
E_2	Anaerococcus	2	0.06
E_2	Pseudomonas	1	0.03
E_2	Kingella	1	0.03
E_2	Cardiobacterium	1	0.03
