sample	genus	count	percent
H_1	Streptococcus	1813	49.13
H_1	Neisseria	579	15.69
H_1	Haemophilus	293	7.94
H_1	Granulicatella	210	5.69
H_1	Rothia	189	5.12
H_1	Actinomyces	124	3.36
H_1	Capnocytophaga	95	2.57
H_1	Porphyromonas	49	1.33
H_1	Veillonella	44	1.19
H_1	Abiotrophia	40	1.08
H_1	Gemella	38	1.03
H_1	Aggregatibacter	36	0.98
H_1	Fusobacterium	33	0.89
H_1	Prevotella	32	0.87
H_1	Lachnoanaerobaculum	24	0.65
H_1	Solobacterium	21	0.57
H_1	Parvimonas	16	0.43
H_1	Atopobium	14	0.38
H_1	Eikenella	12	0.33
H_1	Mogibacterium	11	0.30
H_1	Campylobacter	8	0.22
H_1	Corynebacterium	5	0.14
H_1	Catonella	2	0.05
H_1	Oribacterium	1	0.03
H_1	Cardiobacterium	1	0.03
