sample	genus	count	percent
K_1	Streptococcus	6748	64.65
K_1	Rothia	1164	11.15
K_1	Limosilactobacillus	747	7.16
K_1	Veillonella	431	4.13
K_1	Fusobacterium	368	3.53
K_1	Actinomyces	300	2.87
K_1	Haemophilus	257	2.46
K_1	Granulicatella	193	1.85
K_1	Parvimonas	98	0.94
K_1	Gemella	70	0.67
K_1	Eikenella	44	0.42
K_1	Solobacterium	7	0.07
K_1	Capnocytophaga	3	0.03
K_1	Dialister	2	0.02
K_1	Atopobium	1	0.01
K_1	P5D1-392	1	0.01
K_1	Neisseria	1	0.01
K_1	Kingella	1	0.01
K_1	Lachnoanaerobaculum	1	0.01
K_1	Pseudomonas	1	0.01
