sample	genus	count	percent
F_2	Actinomyces	1577	26.24
F_2	Bifidobacterium	1526	25.40
F_2	Streptococcus	1262	21.00
F_2	Veillonella	601	10.00
F_2	Prevotella	242	4.03
F_2	Atopobium	193	3.21
F_2	Leptotrichia	162	2.70
F_2	Limosilactobacillus	152	2.53
F_2	Rothia	76	1.26
F_2	Selenomonas	44	0.73
F_2	Kingella	35	0.58
F_2	Capnocytophaga	25	0.42
F_2	Lachnoanaerobaculum	20	0.33
F_2	Cryptobacterium	20	0.33
F_2	Lacticaseibacillus	18	0.30
F_2	Granulicatella	12	0.20
F_2	Stomatobaculum	10	0.17
F_2	Megasphaera	6	0.10
F_2	Alloprevotella	5	0.08
F_2	Campylobacter	5	0.08
F_2	Gemella	5	0.08
F_2	Olsenella	4	0.07
F_2	Fusobacterium	4	0.07
F_2	Oribacterium	2	0.03
F_2	Mogibacterium	1	0.02
F_2	Dialister	1	0.02
F_2	Parvimonas	1	0.02
