sample	genus	count	percent
C_1	Streptococcus	3571	30.75
C_1	Haemophilus	1774	15.27
C_1	Bifidobacterium	1492	12.85
C_1	Neisseria	1483	12.77
C_1	Actinomyces	1415	12.18
C_1	Veillonella	406	3.50
C_1	Capnocytophaga	212	1.83
C_1	Granulicatella	196	1.69
C_1	Rothia	165	1.42
C_1	Lachnoanaerobaculum	144	1.24
C_1	Selenomonas	122	1.05
C_1	Gemella	109	0.94
C_1	Atopobium	108	0.93
C_1	Prevotella	102	0.88
C_1	Oribacterium	58	0.50
C_1	Peptostreptococcus	56	0.48
C_1	Fusobacterium	52	0.45
C_1	Leptotrichia	20	0.17
C_1	Alloprevotella	18	0.15
C_1	Olsenella	16	0.14
C_1	Mogibacterium	15	0.13
C_1	Abiotrophia	12	0.10
C_1	Solobacterium	10	0.09
C_1	Finegoldia	8	0.07
C_1	Corynebacterium	7	0.06
C_1	Peptoniphilus	7	0.06
C_1	Shuttleworthia	6	0.05
C_1	Johnsonella	6	0.05
C_1	Anaerococcus	4	0.03
C_1	Dialister	3	0.03
C_1	Slackia	2	0.02
C_1	Stomatobaculum	2	0.02
C_1	Aerococcus	2	0.02
C_1	Campylobacter	2	0.02
C_1	Eikenella	2	0.02
C_1	Limosilactobacillus	2	0.02
C_1	Catonella	2	0.02
C_1	Tannerella	1	0.01
C_1	P5D1-392	1	0.01
C_1	Porphyromonas	1	0.01
