sample	genus	count	percent
F_1	Bifidobacterium	7179	60.97
F_1	Limosilactobacillus	1469	12.48
F_1	Atopobium	1085	9.22
F_1	Prevotella	817	6.94
F_1	Streptococcus	364	3.09
F_1	Veillonella	227	1.93
F_1	Cryptobacterium	170	1.44
F_1	Actinomyces	117	0.99
F_1	Selenomonas	60	0.51
F_1	Lacticaseibacillus	58	0.49
F_1	Stomatobaculum	58	0.49
F_1	Parvimonas	21	0.18
F_1	Olsenella	16	0.14
F_1	Megasphaera	16	0.14
F_1	Leptotrichia	15	0.13
F_1	Alloprevotella	15	0.13
F_1	Mogibacterium	10	0.08
F_1	Fusobacterium	9	0.08
F_1	Rothia	9	0.08
F_1	Lachnoanaerobaculum	9	0.08
F_1	Haemophilus	7	0.06
F_1	Campylobacter	6	0.05
F_1	Capnocytophaga	6	0.05
F_1	Kingella	5	0.04
F_1	Shuttleworthia	5	0.04
F_1	Dialister	5	0.04
F_1	Gemella	4	0.03
F_1	Oribacterium	3	0.03
F_1	Granulicatella	3	0.03
F_1	Solobacterium	3	0.03
F_1	Lactiplantibacillus	1	0.01
F_1	Peptoniphilus	1	0.01
F_1	Slackia	1	0.01
