sample	genus	count	percent
A_2	Streptococcus	7525	47.95
A_2	Actinomyces	2198	14.01
A_2	Abiotrophia	2156	13.74
A_2	Rothia	861	5.49
A_2	Neisseria	778	4.96
A_2	Haemophilus	690	4.40
A_2	Capnocytophaga	296	1.89
A_2	Veillonella	234	1.49
A_2	Leptotrichia	187	1.19
A_2	Kingella	167	1.06
A_2	Atopobium	124	0.79
A_2	Bifidobacterium	108	0.69
A_2	Gemella	102	0.65
A_2	Eikenella	84	0.54
A_2	Granulicatella	48	0.31
A_2	Fusobacterium	44	0.28
A_2	Prevotella	23	0.15
A_2	Peptostreptococcus	9	0.06
A_2	Johnsonella	8	0.05
A_2	Campylobacter	8	0.05
A_2	Aggregatibacter	6	0.04
A_2	Cardiobacterium	5	0.03
A_2	Selenomonas	4	0.03
A_2	Dialister	4	0.03
A_2	Porphyromonas	4	0.03
A_2	Megasphaera	4	0.03
A_2	Shuttleworthia	3	0.02
A_2	Tannerella	3	0.02
A_2	Corynebacterium	2	0.01
A_2	Stomatobaculum	2	0.01
A_2	Parvimonas	2	0.01
A_2	Mogibacterium	2	0.01
A_2	Cryptobacterium	2	0.01
A_2	Lachnoanaerobaculum	1	0.01
