sample	genus	count	percent
D_3	Limosilactobacillus	117	28.47
D_3	Streptococcus	90	21.90
D_3	Actinomyces	39	9.49
D_3	Atopobium	35	8.52
D_3	Cardiobacterium	29	7.06
D_3	Veillonella	28	6.81
D_3	Lactiplantibacillus	21	5.11
D_3	Rothia	18	4.38
D_3	Haemophilus	12	2.92
D_3	Corynebacterium	10	2.43
D_3	Granulicatella	9	2.19
D_3	Finegoldia	3	0.73
