sample	genus	count	percent
G_2	Streptococcus	4258	48.51
G_2	Bifidobacterium	1449	16.51
G_2	Actinomyces	742	8.45
G_2	Capnocytophaga	517	5.89
G_2	Abiotrophia	323	3.68
G_2	Veillonella	299	3.41
G_2	Neisseria	164	1.87
G_2	Selenomonas	154	1.75
G_2	Prevotella	123	1.40
G_2	Rothia	111	1.26
G_2	Gemella	103	1.17
G_2	Atopobium	103	1.17
G_2	Porphyromonas	79	0.90
G_2	Shuttleworthia	78	0.89
G_2	Haemophilus	67	0.76
G_2	Leptotrichia	35	0.40
G_2	Cryptobacterium	31	0.35
G_2	Kingella	31	0.35
G_2	Eikenella	31	0.35
G_2	Mogibacterium	20	0.23
G_2	Granulicatella	13	0.15
G_2	Johnsonella	13	0.15
G_2	Campylobacter	9	0.10
G_2	Olsenella	8	0.09
G_2	Fusobacterium	7	0.08
G_2	Oribacterium	2	0.02
G_2	Alloprevotella	2	0.02
G_2	Stomatobaculum	2	0.02
G_2	Megasphaera	1	0.01
G_2	Lachnoanaerobaculum	1	0.01
G_2	Solobacterium	1	0.01
G_2	Pseudomonas	1	0.01
