model,chain,stage,beta
Dysbiotic_Static,1,0,0.0
Dysbiotic_Static,1,1,0.25489509105682373
Dysbiotic_Static,1,2,0.6613097671586381
Dysbiotic_Static,1,3,0.9999999899062445
Dysbiotic_Static,1,4,1.0
Dysbiotic_Static,2,0,0.0
Dysbiotic_Static,2,1,0.2409854531288147
Dysbiotic_Static,2,2,0.6376560653004422
Dysbiotic_Static,2,3,0.9999999892013092
Dysbiotic_Static,2,4,1.0
