EC no.,Enzyme name,Regression co-efficient,Std Error,p value,Adj p,direction,pathway_group
4.2.2.7,heparin lyase,-1.907,0.453,0.0001,0.067,neg,polysaccharide degradation
4.2.2.8,heparin-sulfate lyase,-1.907,0.453,0.0001,0.067,neg,polysaccharide degradation
3.5.1.11,penicillin amidase,-1.263,0.299,0.0001,0.067,neg,amino acid / penicillin
2.7.7.68,2-phospho-L-lactate guanylyltransferase,-1.253,0.303,0.0002,0.079,neg,nucleotide metabolism
3.1.2.20§,acyl-CoA hydrolase,-1.298,0.330,0.0003,0.095,neg,acyl-CoA / lipid
3.5.1.5,urease,-1.244,0.342,0.0007,0.143,neg,nitrogen / urease
1.2.1.21§,glycolaldehyde dehydrogenase,-1.089,0.308,0.0010,0.143,neg,carbohydrate / aldehyde
1.2.1.22§,lactaldehyde dehydrogenase,-1.089,0.308,0.0010,0.143,neg,carbohydrate / aldehyde
3.1.2.28§,"1,4-dihydroxy-2-naphthoyl-CoA hydrolase",-1.080,0.284,0.0006,0.143,neg,lipid / menaquinone
1.7.2.1,nitrite reductase (NO-forming),-0.766,0.220,0.0011,0.143,neg,nitrogen / denitrification
1.1.1.31,3-hydroxyisobutyrate dehydrogenase,-0.333,0.089,0.0010,0.143,neg,amino acid / valine
4.1.2.25,dihydroneopterin aldolase,0.065,0.016,0.0011,0.143,pos,folate / pterin biosynthesis
3.2.1.170,mannosylglycerate hydrolase,-1.510,0.444,0.0015,0.175,neg,carbohydrate
1.1.1.284,S-(hydroxymethyl)glutathione dehydrogenase,-1.312,0.417,0.0029,0.244,neg,C1 / formaldehyde
1.1.1.339,dTDP-6-deoxy-L-talose 4-dehydrogenase (NAD+),-0.973,0.304,0.0027,0.244,neg,sugar nucleotide
1.5.1.38,FMN reductase (NADPH),-0.708,0.221,0.0029,0.244,neg,oxidoreductase / FMN
1.2.1.18,malonate-semialdehyde dehydrogenase (acetylating),-0.705,0.221,0.0029,0.244,neg,amino acid / methylmalonate
1.2.1.27,methylmalonate-semialdehyde dehydrogenase (CoA-acylating),-0.705,0.221,0.0029,0.244,neg,amino acid / methylmalonate
3.5.1.23£,Ceramidase,-1.594,0.346,0.000,0.109,neg,lipid / ceramide
2.4.1.109£,dolichyl-phosphate-mannose--protein mannosyltransferase,-1.530,0.397,0.001,0.234,neg,glycosylation / dolichol
