Genus,mean_abundance,std_deviation,mean_health,mean_periimplantitis,p_value,fdr_p
Shuttleworthia,0.036974578,0.126952469,0.019516428,0.054432727,0.768047822,0.931898024
Slackia,0.019597938,0.029104945,0.019319756,0.01987612,0.445682001,0.675951034
Solobacterium,0.202033308,0.347785968,0.178398738,0.225667879,0.718069595,0.920521149
Sphaerochaeta,0.011107477,0.05903799,0.002984492,0.019230463,0.388162871,0.62267039
SR1,0.017953094,0.054765933,0.003850115,0.032056073,0.485044291,0.723590664
Stomatobaculum,0.147631612,0.569829908,0.094930078,0.200333147,0.306325227,0.559062141
Streptococcus,21.56184874,14.41318133,30.44311086,12.68058661,4.17358e-07,3.79796e-05
Tannerella,1.051161257,1.327098207,0.625764054,1.476558461,0.137539044,0.403743646
Treponema,1.570966114,2.186120355,0.911758077,2.230174151,0.563332009,0.789035799
Unknown,0.868380612,1.12672548,0.5942384,1.142522823,0.278964122,0.559062141
Veillonella,4.234133727,4.790473315,5.549484186,2.918783268,0.093046618,0.354240762
