model,rmse,bc,stored_rmse,evaluator
gLV free,0.04548793893490121,0.14614996634941663,0.052383220537634945,glv
Hamilton (no prior),0.1294188127802574,0.3705182594325181,0.1049749635042843,hamilton
Hamilton L1+L2,0.05824883384317399,0.19083982838274713,0.06305753878505235,hamilton
Hamilton L1+L2+L3 W=0.5,0.06027939091620932,0.18555507644899677,0.06609431210645288,hamilton
Hamilton L1+L2+L3 W=1.0 ★,0.050691620051586485,0.15456326477054189,0.05654737858484277,hamilton
Hamilton L1+L2+L3 W=1.5,0.05361448101546953,0.167755654506808,0.05972037619947134,hamilton
Hamilton L1+L2+L3 W=2.0,0.05042766564634603,0.15129998558713842,0.05752036038642666,hamilton
MacArthur c=0.01,0.05400012040660562,0.17295826488830315,0.06393885035841414,hamilton
MacArthur c=0.05,0.04967015583654054,0.15587325250278786,0.05915391992729135,hamilton
