cond,day,file,fov,latCV_S.o,biomass_S.o,latCV_A.n,biomass_A.n,latCV_Vd/Vp,biomass_Vd/Vp,latCV_F.n,biomass_F.n,latCV_P.g,biomass_P.g,FnPg_patch_M1,FnPg_3d_M1
CH,1,220518_HOBIC22_5Spezies_FISH_Tag1,0,0.4498455822467804,319964.125,0.40964648127555847,383840.90625,0.485299676656723,381993.65625,0.35634955763816833,193624.84375,0.5797332525253296,227819.0625,0.9999752640724182,0.7518453001976013
CH,1,220601_HOBIC22_5Spezies_FISH_Tag1,0,0.8406908512115479,176913.171875,0.5638414621353149,253690.640625,0.908347487449646,210003.75,0.44283148646354675,176888.328125,0.66666179895401,155905.15625,0.9979581832885742,0.6253966093063354
CH,1,220720_HOBIC22_5Spezies_FISH_Tag1,0,0.7008100152015686,348476.625,0.9024050235748291,357468.5,0.5914044976234436,474429.28125,1.0492668151855469,94257.34375,0.5295124650001526,447934.9375,0.7881273627281189,0.1782316416501999
CH,1,220518_HOBIC22_5Spezies_FISH_Tag1,1,0.49539127945899963,389222.15625,0.3854227662086487,464780.375,0.5617163777351379,433366.375,0.4206109941005707,187872.90625,0.5172433853149414,287931.96875,0.9995256662368774,0.6902883052825928
CH,1,220601_HOBIC22_5Spezies_FISH_Tag1,1,0.6385446190834045,265301.0625,0.7674508690834045,283802.34375,0.9434078335762024,258727.734375,0.46298831701278687,174885.46875,0.9196932315826416,159102.34375,0.9973182082176208,0.6830559372901917
CH,1,220720_HOBIC22_5Spezies_FISH_Tag1,1,0.686315655708313,364082.5625,0.7753026485443115,452488.0,0.5906347036361694,482524.4375,0.8255164623260498,121737.671875,0.42052602767944336,574677.5,0.9205083847045898,0.2145463079214096
CH,1,220518_HOBIC22_5Spezies_FISH_Tag1,2,0.4558950364589691,278714.0,0.3837318420410156,373649.21875,0.3548325300216675,452853.125,0.4221709072589874,124053.5234375,0.5332780480384827,242106.265625,0.9993481040000916,0.6227222084999084
CH,1,220601_HOBIC22_5Spezies_FISH_Tag1,2,0.8157584071159363,140078.3125,0.526631772518158,226911.015625,1.3535232543945312,155413.1875,0.6593791246414185,130611.6328125,0.9528912305831909,106742.6640625,0.9848781228065491,0.8306025266647339
CH,1,220720_HOBIC22_5Spezies_FISH_Tag1,2,0.8206197023391724,331734.84375,0.8930783271789551,368567.5625,0.6303145885467529,472347.25,1.160547137260437,83418.203125,0.5246893763542175,465573.09375,0.7221846580505371,0.15223141014575958
CH,1,220518_HOBIC22_5Spezies_FISH_Tag1,3,0.49375414848327637,350748.8125,0.35842183232307434,544851.3125,0.29093894362449646,754208.3125,0.4433659017086029,160682.03125,0.49743571877479553,338211.0625,0.9993118643760681,0.53278648853302
CH,1,220601_HOBIC22_5Spezies_FISH_Tag1,3,0.868549644947052,156204.28125,0.4412660300731659,238446.859375,1.14767324924469,153129.734375,0.5431910753250122,158641.421875,1.0462356805801392,108865.8125,0.9978892207145691,0.879810094833374
CH,1,220720_HOBIC22_5Spezies_FISH_Tag1,3,0.5770897269248962,397135.90625,0.9487434029579163,374460.78125,0.6354795694351196,409903.375,0.8514236211776733,133731.78125,0.49150240421295166,488671.3125,0.9157889485359192,0.21719272434711456
CH,1,220518_HOBIC22_5Spezies_FISH_Tag1,4,0.8769230842590332,220714.796875,0.38895928859710693,259655.65625,1.2668770551681519,146947.75,0.4696924388408661,156518.484375,0.9225935935974121,122707.390625,0.9982831478118896,0.7778106927871704
