Genus	Peri-implantitis	Mucositis	Health	Mucositis	Mucositis	Peri-implantitis	Health	Health	Peri-implantitis	Peri-implantitis	Peri-implantitis	Peri-implantitis	Health	Health	Health	Health	Health	Health	Health	Health	Health	Health	Peri-implantitis	Mucositis	Mucositis	Mucositis	Mucositis	Mucositis	Mucositis	Health	Health	Health	Mucositis	Mucositis	Mucositis	Mucositis	Health	Mucositis	Mucositis	Mucositis	Peri-implantitis	Health	Health	Health	Mucositis	Mucositis	Health	Health	Health	Peri-implantitis	Peri-implantitis	Peri-implantitis	Peri-implantitis	Mucositis	Peri-implantitis	Mucositis	Health	Health	Peri-implantitis	Peri-implantitis	Health	Health	Mucositis	Peri-implantitis	Peri-implantitis	Peri-implantitis	Health	Peri-implantitis	Mucositis	Mucositis	Mucositis	Mucositis	Mucositis	Mucositis	Mucositis	Health	Health	Health	Health	Peri-implantitis	Health	Health	Health	Health	Health	Health	Mucositis	Peri-implantitis	Mucositis	Peri-implantitis	Health	Peri-implantitis	Health	Peri-implantitis	Health	Health	Mucositis	Mucositis	Mucositis	Mucositis	Mucositis	Mucositis	Mucositis	Peri-implantitis	Mucositis	Mucositis	Peri-implantitis	Peri-implantitis	Peri-implantitis	Peri-implantitis	Peri-implantitis	Peri-implantitis	Health	Peri-implantitis	Health	Health	Health	Health	Health	Health	Health	Health	Health	Health	Health	Health	Health
Actinomyces	21	1	5	14	8	0	0	0	0	0	0	0	58	95	37	1	34	163	100	25	226	30	0	5	0	0	4	6	24	0	2	0	1	3	2	26	1	1	0	28	14	0	0	0	0	95	3	0	1	1	13	6	88	1	0	2	0	0	0	0	48	0	0	0	0	0	0	6	66	4	3	7	0	0	34	0	0	0	183	40	0	0	23	0	0	0	11	0	64	0	0	0	4	0	17	42	17	4	37	1	0	9	8	27	9	0	0	0	0	0	0	0	8	0	29	678	115	0	1	1	0	0	307	377	452	32	0
Actinomyces	0	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	29	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	2	14	65	0	0	0	0	1	8	0	0	11	0	0	0	0	0	0	0	0	0	2	0	0	28	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	1	0	0	0	3	17	0	2	1	0	3	0	3	76	16	0	8	3	0	11	0	7	8	76	1	2	4	0	4	16	0	0	13	49	0	0	0	0	135	13	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	0	2	2	0	3	3	0	0	0	6	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	2	1	13	0	0	0	0	0	15	22	36	5	37	0	2	0	0	0
Actinomyces	0	0	0	15	17	0	0	0	0	0	0	0	5	3	0	0	1	0	0	0	2	3	0	0	0	0	0	0	0	69	93	485	0	0	0	0	74	0	88	0	0	7	209	82	9	2	0	0	5	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	7	151	4	108	0	0	2	0	16	0	0	0	0	0	0	0	0	0	6	0	5	0	21	11	11	0	0	104	0	45	1	0	0	103	0	16	29	0	1	0	0	0	0	2	0	1	0	1	0	1	1	0	0
Actinomyces	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	1	25	0	0	0	0	0	0
Actinomyces	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0	1	0	0	0	0	0	0	0	0	4	0	0	14	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces	4	4	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	22	0	19	0	0	0	0	7	0	2	0	0	0	0	6	0	4	7	5	0	1	13	5	14	1	5	2	5	1	0	3	14	2	0	0	0	5	0	0	0	16	0	1	86	13	0	6	0	1	117	0	0	0	3	0	0	0	1	0	0	21	0	0	2	1	0	3	1	0	6	0	4	9	34	4	0	0	2	5	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7
Actinomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Actinomyces	17	0	0	0	0	0	0	0	0	2	5	6	19	3	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	24	0	0	0	0	6	23	6	0	0	0	0	23	1	6	11	0	0	0	0	0	0	0	1	0	0	0	0	0	44	16	0	0	0	2	0	0	1	0	0	1	28	0	0	7	0	0	0	0	1	0	17	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	13	1	0	27	0	28	1	0	5	94	41	4	66	133	19	0	0	0	0	0	1	7	0	13	0	0	0	0	0	0
Actinomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
